function_old,function_new,function_value
"Klosterprior","Prior","G"
"Privatier","Privatier","P"
"Privatmann","Privatier","P"
"Privater Bürger","Privatier","P"
"Privatlehrer","Privatlehrer","L"
"Lehrer im Privaten","Privatlehrer","L"
"Lehrer, Privat","Privatlehrer","L"
"Privatmann","Privatmann","P"
"Prodekan","Prodekan","G"
"Pro-Dekan","Prodekan","G"
"Stellvertretender Dekan","Prodekan","G"
"Professor","Professor","L"
"Lehrstuhlinhaber","Professor","L"
"Akademischer Professor","Professor","L"
"Professor, außerordentlicher","Professor, außerordentlicher","L"
"Außerordentlicher Professor","Professor, außerordentlicher","L"
"Professor (außerordentlich)","Professor, außerordentlicher","L"
"Professor, emeritierter","Professor, emeritierter","L"
"Emeritierter Professor","Professor, emeritierter","L"
"Professor (emeritiert)","Professor, emeritierter","L"
"Professor, Ethik / Mathematik","Professor, Ethik / Mathematik","L"
"Professor der Ethik und Mathematik","Professor, Ethik / Mathematik","L"
"Professor für Ethik und Mathematik","Professor, Ethik / Mathematik","L"
"Professor, Gastdozent","Professor, Gastdozent","L"
"Gastdozent","Professor, Gastdozent","L"
"Professor als Gastdozent","Professor, Gastdozent","L"
"Professor, Geschichte","Professor, Geschichte","L"
"Geschichtsprofessor","Professor, Geschichte","L"
"Professor der Geschichte","Professor, Geschichte","L"
"Professor, Kirchenrecht","Professor, Kirchenrecht","L"
"Professor des Kirchenrechts","Professor, Kirchenrecht","L"
"Kirchenrechtsprofessor","Professor, Kirchenrecht","L"
"Professor, Logik","Professor, Logik","L"
"Logikprofessor","Professor, Logik","L"
"Professor der Logik","Professor, Logik","L"
"Professor, Metaphysik / Ethik","Professor, Metaphysik / Ethik","L"
"Professor der Metaphysik und Ethik","Professor, Metaphysik / Ethik","L"
"Professor für Metaphysik und Ethik","Professor, Metaphysik / Ethik","L"
"Professor, ordentlicher","Professor, ordentlicher","L"
"Ordentlicher Professor","Professor, ordentlicher","L"
"Professor (ordentlich)","Professor, ordentlicher","L"
"Professor, Philosophie","Professor, Philosophie","L"
"Philosophieprofessor","Professor, Philosophie","L"
"Professor der Philosophie","Professor, Philosophie","L"
"Professor, Physik","Professor, Physik","L"
"Physikprofessor","Professor, Physik","L"
"Professor der Physik","Professor, Physik","L"
"Professor, Poetik","Professor, Poetik","L"
"Poetikprofessor","Professor, Poetik","L"
"Professor der Poetik","Professor, Poetik","L"
"Professor, Rechtswissenschaft","Professor, Rechtswissenschaft","L"
"Professor der Rechtswissenschaft","Professor, Rechtswissenschaft","L"
"Rechtswissenschaftsprofessor","Professor, Rechtswissenschaft","L"
"Professor, Rhetorik","Professor, Rhetorik","L"
"Rhetorikprofessor","Professor, Rhetorik","L"
"Professor der Rhetorik","Professor, Rhetorik","L"
"Professor, Theologie","Professor, Theologie","L, G"
"Theologieprofessor","Professor, Theologie","L, G"
"Professor der Theologie","Professor, Theologie","L, G"
"Professor, ordentlicher","Professor, ordentlicher","L"
"Ordentlicher Professor","Professor, ordentlicher","L"
"Professor (ordentlich)","Professor, ordentlicher","L"
"Prokurator","Prokurator","R"
"Anwalt","Prokurator","R"
"Prokurator des Gerichts","Prokurator","R"
"Promissarius","Promissarius","P"
"Versprechender","Promissarius","P"
"Promissarius (Versprechender)","Promissarius","P"
"Promotor","Promotor","G"
"Förderer","Promotor","G"
"Promotor (Förderer)","Promotor","G"
"Promovend","Promovend","S"
"Doktorand","Promovend","S"
"Promovend (Doktorand)","Promovend","S"
"Promovend, Assessor","Promovend, Assessor","S, R"
"Promovender Assessor","Promovend, Assessor","S, R"
"Assessor (Promovend)","Promovend, Assessor","S, R"
"Promovend, Professor","Promovend, Professor","S, L"
"Promovender Professor","Promovend, Professor","S, L"
"Professor (Promovend)","Promovend, Professor","S, L"
"Propst","Propst","G"
"Probst","Propst","G"
"Propst des Klosters","Propst","G"
"Prorektor","Prorektor","L"
"Stellvertretender Rektor","Prorektor","L"
"Prorektor der Universität","Prorektor","L"
"Protogé","Protogé","?"
"Schützling","Protogé","?"
"Protégé (Schützling)","Protogé","?"
"Protonotar","Protonotar","R"
"Erster Notar","Protonotar","R"
"Protonotar des Gerichts","Protonotar","R"
"Provikar","Provikar","G"
"Stellvertretender Vikar","Provikar","G"
"Provikar der Kirche","Provikar","G"
"Provincialis","Provincialis","G"
"Provincial","Provincialis","G"
"Leiter der Provinz","Provincialis","G"
"Provinzial","Provinzial","G"
"Provinzial der Kirche","Provinzial","G"
"Kirchenprovinzial","Provinzial","G"
"Prüfer","Prüfer","L"
"Examinator","Prüfer","L"
"Prüfer der Universität","Prüfer","L"
"Prüfling","Prüfling","S"
"Examinand","Prüfling","S"
"Prüfling (Examinand)","Prüfling","S"
"Quaestor","Quaestor","V"
"Schatzmeister","Quaestor","V"
"Quaestor (Schatzmeister)","Quaestor","V"
"Rat","Rat","V"
"Berater","Rat","V"
"Ratsmitglied","Rat","V"
"Rat #","Rat","V"
"Berater #","Rat","V"
"Ratsmitglied #","Rat","V"
"Rat, Supernumerar","Rat, Supernumerar","V"
"Supernumerar-Rat","Rat, Supernumerar","V"
"Rat (Supernumerar)","Rat, Supernumerar","V"

"Ratsmeister","Ratsmeister","V"
"Meister des Rats","Ratsmeister","V"
"Ratsmeister der Gemeinde","Ratsmeister","V"

"Rechnungsunterzeichner","Rechnungsunterzeichner","V"
"Buchhalter","Rechnungsunterzeichner","V"
"Rechnungsunterzeichner des Rats","Rechnungsunterzeichner","V"

"Rector Magnificus","Rector Magnificus","L"
"Rektor Magnificus","Rector Magnificus","L"
"Rektor der Universität","Rector Magnificus","L"

"Redner","Redner",""
"Öffentlicher Redner","Redner",""
"Redner der Gemeinde","Redner",""

"Referend","Referend","R, V"
"Referendar","Referend","R, V"
"Referendar des Gerichts","Referend","R, V"

"Reformator","Reformator","?"
"Regens","Regens","G"
"Regent","Regent","V"
"Regierungsmitglied","Regierungsmitglied","V"
"Reichsdiener","Reichsdiener","V"
"Reichserzkanzler","Reichserzkanzler","V"
"Reichshofkanzleitaxator","Reichshofkanzleitaxator","V"
"Reisender","Reisender","P"
"Rektor","Rektor","L"
"Rektor, Assessor","Rektor, Assessor","L"
"Rentmeister","Rentmeister","V"
"Repetent","Repetent","L"
"Resignation","Resignation",""
"Revisionsrat","Revisionsrat","R, V"
"Richter","Richter","R, V"
"Sänger","Sänger","G"
"Sazellan","Sazellan","G"
"Schöffe","Schöffe","R"
"Scholaster","Scholaster","G"
"Schreiber","Schreiber","V"
"Schriftsteller","Schriftsteller","W"
"Schuldirektor","Schuldirektor","L"
"Schuldner","Schuldner","P"
"Schüler","Schüler","S"
"Schüler #","Schüler","S"
"Schüler]","Schüler","S"
"Schülerin","Schülerin","S"
"Schulkommissar","Schulkommissar","L"
"Schulmeister","Schulmeister","L"
"Schultheiß","Schultheiß","V"
"Seelsorger","Seelsorger","G"
"Sekretär","Sekretär","V"
"Sekretär #","Sekretär","V"
"Seminarist","Seminarist","G, S"
"Sicherheitsbeamter","Sicherheitsbeamter","V"
"Siegelbewahrer","Siegelbewahrer","V"
"Siegler","Siegler","V"
"Soldat","Soldat","Mi"
"Sonstiges","Sonstiges","?"
"Spiritual","Spiritual","G"
"Staatsbeamter, höherer","Staatsbeamter, höherer","V"
"Staatsminister","Staatsminister","V"
"Stadtgerichtsschultheiß","Stadtgerichtsschultheiß","R, V"
"Stadthauptmann","Stadthauptmann","V"
"Stadtkapitän","Stadtkapitän","V"
"Stadtmajor","Stadtmajor","V"
"Stadtschreiber","Stadtschreiber","V"
"Stadtschultheiß","Stadtschultheiß","V"
"Stadtvogt","Stadtvogt","V"
"Statthalter","Statthalter","V"
"Steuerzahler","Steuerzahler","P"
"Stipendiat","Stipendiat","S"
"Student","Student","S"
"Student #","Student","S"
"Student]","Student","S"
"Subcustos","Subcustos","G"
"Subdelegierter","Subdelegierter","V"
"Subdiakon","Subdiakon","G"
"Subkonkretor","Subkonkretor","L"
"Subregens","Subregens","G"
"Superintendent","Superintendent","G"
"Superior","Superior","G"
"Syndikus","Syndikus","V"
"Syndikus #","Syndikus","V"
"Täufling","Täufling","P"
"Täufling, evangelisch-kalvinistisch","Täufling","P"
"Täufling, evangelisch-lutherisch","Täufling","P"
"Täufling, evangelisch-reformiert","Täufling","P"
"Täufling, katholisch","Täufling","P"
"Testamentsvollstrecker","Testamentsvollstrecker","P"
"Toter","Toter","P"
"Tryßler","Tryßler","?"
"Tutor","Tutor","L"
"Uhrmacher","Uhrmacher","W"
"Ungelder","Ungelder","V"
"Unterbauherr","Unterbauherr","V"
"Unterpräfekt","Unterpräfekt","V"
"Unterstadtvogt","Unterstadtvogt","V"
"Vater","Vater","P"
"Vater, Braut","Vater","P"
"Vater, Bräutigam","Vater","P"
"Verwalter","Verwalter","V"
"Verwalter, kommissarisch","Verwalter","V"
"Verweser","Verweser","V"
"Vierherr","Vierherr","V"
"Vikar","Vikar","G"
"Vikariatsassessor","Vikariatsassessor","G, R"
"Visitator","Visitator","V, R"
"Vizedekan","Vizedekan","L"
"Vizedirektor","Vizedirektor","V"
"Vizedom","Vizedom","V"
"Vizegroßhofmeister","Vizegroßhofmeister","H"
"Vizekanzler","Vizekanzler","V"
function_old,function_new,function_value
"Vizekanzler","Vizekanzler","V"
"Vizepräsident","Vizepräsident","V"
"Vizepräsident]","Vizepräsident","V"
"Vizeregierungsdirektor/Kanzleidirektor","Vizeregierungsdirektor/Kanzleidirektor","V"
"Vizerektor","Vizerektor","V"
"Vizestadtschultheiß","Vizestadtschultheiß","V"
"Vogelschütze","Vogelschütze","W"
"Vogt","Vogt","V"
"Vorsitzender","Vorsitzender","ja nachdem von was"
"Vorsteher","Vorsteher","ja nachdem von was"
"Vorstizender","Vorstizender","ja nachdem von was"
"Wahlbotschafter, zweiter, Kurfürstentum Mainz","Wahlbotschafter, zweiter, Kurfürstentum Mainz","V"
"Wahlbotschafter, zweiter, Kurköln","Wahlbotschafter, zweiter, Kurköln","V"
"Weihbischof","Weihbischof","G"
"Zahlmeister","Zahlmeister","V"
"Zahlmeister-Adjunkt","Zahlmeister-Adjunkt","V"
"Zensor","Zensor","V"
"Zinseinnehmer-Adjunkt","Zinseinnehmer-Adjunkt","V"
"Zinsmeister","Zinsmeister","V"
"Zollschreiber","Zollschreiber","V"
"Zuckermacher","Zuckermacher","W"
"Zweiermann","Zweiermann","V"
