person_id,person_name,person_name_variants,person_editorial_comment,person_name_normalised,pers_ID_FS,person_relevance,person_name_corrected,person_frequency
18.0,Ernst Ludwig Wilhelm Freiherr von Dacheröden,,,Ernst Ludwig Wilhelm von Dacheröden,18,poi-1,Ernst Ludwig Wilhelm Freiherr von Dacheröden,15
18.0,Georg Melchior von Klemens,Georg Melchior Klemens,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Klemens,1
19.0,Carl Theodor Anton Maria von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Carl Theodor Anton Maria von Dalberg,38
19.0,Carl Theodor Cämmerer von Worms Freiherr von und zu Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Carl Theodor Cämmerer von Worms Freiherr von und zu Dalberg,6
19.0,Carl Theodor Freiherr von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Carl Theodor Freiherr von Dalberg,1
9097.0,Ernst Ludwig Wilhelm Freiherr von Dacheröden,,,Ernst Ludwig Wilhelm von Dacheröden,18,poi-1,Ernst Ludwig Wilhelm Freiherr von Dacheröden,15
20.0,Georg Melchior von Klemens,Georg Melchior Klemens,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Klemens,1
19.0,Karl Theodor Anton Maria Kämmerer von Worms Freiherr von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor Anton Maria Kämmerer von Worms Freiherr von Dalberg,2
19.0,Karl Theodor Anton Maria von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor Anton Maria von Dalberg,21
19.0,Karl Theodor Anton von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor Anton von Dalberg,8
19.0,Karl Theodor Freiherr von Dalberg,Karl Theodor Anton Maria Reichsfreiherr von Dalberg,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor Freiherr von Dalberg,29
19.0,Karl Theodor von Dalberg,,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor von Dalberg,72
19.0,Karl Theodor von Dalberg,Carl Theodor Anton Maria Reichsfreiherr von Dalberg,,Karl Theodor Anton Maria von Dalberg,19,poi-1,Karl Theodor von Dalberg,72
9096.0,[Johann Philipp] Dehmar,Dehmer,,Johann Heinrich Demar,,poi-1,Johann Philipp Demar,2
9096.0,[Johann Philipp] Dehmar,,,Johann Heinrich Demar,,poi-1,Johann Philipp Demar,2
9097.0,Ernst Ludwig Wilhelm Freiherr von Dachröden,,,Ernst Ludwig Wilhelm von Dacheröden,18,poi-1,Ernst Ludwig Wilhelm Freiherr von Dachröden,1
20.0,Georg Melchior von Klemens,,,Georg Melchior von Clemens,15,poi-1,Georg Melchior von Klemens,1
20.0,Johann Heinrich Dehmer,,,Johann Heinrich Demar,20,poi-1,Johann Heinrich Demar,2
20.0,Johann Heinrich Demar,,,Johann Heinrich Demar,20,poi-1,Johann Heinrich Demar,4
20.0,Johann Heinrich Demar,von [!] Dehmar [?],,Johann Heinrich Demar,20,poi-1,Johann Heinrich Demar,4
9096.0,Johann Philipp Demar,,,Johann Heinrich Demar,20,poi-1,Johann Philipp Demar,4
