institution_old,institution_new
k.k. Josephinisches Lyzeum,"Josephinisches Lyzeum Konstanz"
"kaiserlich königliche vorderösterreichische Regierung","kaiserlich königliche vorderösterreichische Regierung"
"kaiserlich königliches Militär, General Sinceresches Infanterieregiment","kaiserlich königliches Militär, General Sinceresches Infanterieregiment"
Kaiserliche Geheime Konferenz,"Kaiserliche Geheime Konferenz"
Kaiserlicher Hof,"Kaiser, Hof"
Kaiserliches Landgericht,"Kaiserliches Landgericht Bamberg"
Kaiserliches Landgericht des Herzogtums Franken,"Kaiserliches Landgericht Würzburg"
Kaiserliches Militär,"Kaiserliches Militär"
Kaiserwahl,"Königs- und Kaiserwahlkonvent"
Kammer zu Erfurt,"Kurfürstentum Mainz, Kammer Erfurt"
Kammer zu Erfurt],"Kurfürstentum Mainz, Kammer Erfurt]"
Kammeramt,"Kurfürstentum Mainz, Kammeramt Mainz"
Kanzler Veit Ludwig von Seckendorf,"Privatperson: Kanzler Veit Ludwig von Seckendorf"
Karl Johann Alexander Freiherr von Rotenhan,"Privathaus: Karl Johann Alexander Freiherr von Rotenhan"
Karl-Universität Aschaffenburg,"Universität Aschaffenburg"
katholisch,"katholisch"
katholisch],"katholisch"
Katholische Kirche,"Katholische Kirche"
Katholische Westfälische Reichsgrafen,"Reichskammergerichtsvisitation, 2. Klasse"
Kaufmannsgemeinde,"Kaufmannsgemeinde Erfurt"
Kaufmannskirche,"Kaufmannsgemeinde Erfurt"
Kaufmannsschule,"Kaufmannsschule Erfurt"
Kirche, Kirche ###
Kleines Hospital,"Kleines Hospital Erfurt"
Kloser Reiffenstein,"Kloster Reiffenstein"
Kollegiatstift St. Alban,"Ritterstift St. Alban Mainz"
Kollegiatstift St. Maria,"Kollegiatstift St. Maria Erfurt"
Kollegiatstift St. Peter und Alexander,"Kollegiatstift St. Peter und Alexander Aschaffenburg"
Kollegiatstift St. Severin,"Kollegiatstift St. Severus Erfurt"
Kollegiatstift St. Stephan,"Kollegiatstift St. Stephan Mainz"
Kollegiatstift St. Viktor,"Kollegiatstift St. Viktor Mainz"
Kommerz-Deputation,"Kurfürstentum Mainz, Kommerziendeputation"
"Kommerziendeputation, kurmainzische","Kurfürstentum Mainz, Kommerziendeputation"
"Königreich Bayern, Geheimer Rat","Königreich Bayern, Geheimer Rat"
"Königreich Bayern, Justizdepartement","Königreich Bayern, Justizdepartement"
"Königreich Bayern, Justizministerium","Königreich Bayern, Justizministerium"
"Königreich Bayern, Oberappellationsgericht","Königreich Bayern, Oberappellationsgericht München"
"Königreich Bayern, Staatsministerium der Justiz","Königreich Bayern, Justizministerium"
Königreich Polen,"Königreich Polen"
"Königreich Preußen, Kriegs- und Domänenkammer","Königreich Preußen, Kriegs- und Domänenkammer"
"Königreich Preußen, Regierung","Königreich Preußen, Regierung"
Königreich Schweden,"Königreich Schweden"
"Königreich Schweden, Armee","Königreich Schweden, Militär"
"Königriech Schweden, Armee","Königreich Schweden, Militär"
"Königlich-württembergischer katholischer Geistlicher Rat (Kirchenrat)","Königreich Württemberg, Kirchenrat"
"Königlich-württembergisches Oberjustizkollegium, 1. Senat","Königreich Württemberg, Oberjustizkollegium, 1. Senat"
"Kreis-Feuer-Sozietät des Fürstentums Erfurt und der Herrschaft Blankenhain","Kreis-Feuer-Sozietät Erfurt"
Kreuz-Stift,"Kollegiatstift Heiligkreuz Hildesheim"
Kurbayerischer Hof,"Kurfürstentum Bayern, Hof"
kurbayerischer Hofrat,"Kurfürstentum Bayern, Hofrat"
Kurfürst Friedrich August III.,"Kurfürstentum Sachsen"
Kurfürst Maximilian III.,"Kurfürst Maximilian III."
Kurfürst von Mainz,"Kurfürstentum Mainz"
Kurfürst von Trier,"Kurfürstentum Trier"
Kurfürst Wolfgang von Dalberg,"Kurfürst Wolfgang von Dalberg"
"Kurfürstentum Köln, Oberappellationsgericht","Kurfürstentum Köln, Oberappellationsgericht Bonn"
"Kurfürstentum Köln, Weltliches Gericht","Kurfürstentum Köln, Weltliches Gericht Köln"
Kurfürstentum Mainz,"Kurfürstentum Mainz"
"Kurfürstentum Mainz, Amt Alach","Kurfürstentum Mainz, Amt Alach"
"Kurfürstentum Mainz, Amt Azmannsdorf","Kurfürstentum Mainz, Amt Azmannsdorf"
"Kurfürstentum Mainz, Amt Fritzlar","Kurfürstentum Mainz, Amt Fritzlar"
"Kurfürstentum Mainz, Amt Gleichenstein","Kurfürstentum Mainz, Amt Gleichenstein"
"Kurfürstentum Mainz, Amt Harburg","Kurfürstentum Mainz, Amt Harburg"
"Kurfürstentum Mainz, Amt Mühlberg","Kurfürstentum Mainz, Amt Mühlberg"
"Kurfürstentum Mainz, Amt Naumburg","Kurfürstentum Mainz, Amt Naumburg"
"Kurfürstentum Mainz, Amt Sömmerda","Kurfürstentum Mainz, Amt Sömmerda"
"Kurfürstentum Mainz, Amt Sontra","Kurfürstentum Mainz, Amt Sontra"
"Kurfürstentum Mainz, Amt Tonndorf","Kurfürstentum Mainz, Amt Tonndorf"
"Kurfürstentum Mainz, Amt Vippach","Kurfürstentum Mainz, Amt Vippach"
"Kurfürstentum Mainz, Brau- und Armendirektion","Kurfürstentum Mainz, Brau- und Armendirektion"
"Kurfürstentum Mainz, Geheime Hofkanzlei","Kurfürstentum Mainz, Geheime Hofkanzlei"
"Kurfürstentum Mainz, Geheime Kabinettskonferenz","Kurfürstentum Mainz, Geheime Kabinettskonferenz"
"Kurfürstentum Mainz, Geheime Staatskonferenz","Kurfürstentum Mainz, Geheime Staatskonferenz"
"Kurfürstentum Mainz, Geheimes Staatskabinett","Kurfürstentum Mainz, Geheimes Staatskabinett"
"Kurfürstentum Mainz, Hof","Kurfürstentum Mainz, Hof"
"Kurfürstentum Mainz, Hofgericht","Kurfürstentum Mainz, Hofgericht"
"Kurfürstentum Mainz, Kammer","Kurfürstentum Mainz, Kammer Erfurt"
"Kurfürstentum Mainz, Kammeramt","Kurfürstentum Mainz, Kammeramt Mainz"
"Kurfürstentum Mainz, Kommerziendeputation","Kurfürstentum Mainz, Kommerziendeputation"
"Kurfürstentum Mainz, Regierung zu Erfurt","Kurfürstentum Mainz, Regierung Erfurt"
"Kurfürstentum Mainz, Stadtgericht Mainz","Kurfürstentum Mainz, Stadtgericht Mainz"
"Kurfürstentum Mainz, Stadtrat zu Erfurt ?","Kurfürstentum Mainz, Stadtrat Erfurt ?"
"Kurfürstentum Mainz, Vizedomamt","Kurfürstentum Mainz, Vizedomamt"
"Kurfürstentum Mainz, Weltliches Gericht Erfurt","Kurfürstentum Mainz, Weltliches Gericht Erfurt"
Kurfürstentum Sachsen,"Kurfürstentum Sachsen"
"Kurfürstentum Sachsen, Hof","Kurfürstentum Sachsen, Hof"
"Kurfürstentum Salzburg, Hofgericht","Kurfürstentum Salzburg, Hofgericht"
Kurfürstentum Trier,"Kurfürstentum Trier"
"Kurmainzer Akademie nützlicher Wissenschaften zu Erfurt","Kurmainzer Akademie nützlicher Wissenschaften Erfurt"
"Kurmainzer Ritterschaft, Kanton Friedberg","Kurmainzer Ritterschaft, Kanton Friedberg"
Kurmainzerische Deputationskommission,"Kurmainzerische Deputationskommission"
"Kurmainzerische Deputationskommission zu Frankfurt","Kurmainzerische Deputationskommission"
Kurpfälzische Gerichte,"Gerichte, Kurpfalz"
Kurrheinischer Kreiskonvent,"Reichskreis, Kurrhein, Kreiskonvent"
Land- und Stadtgericht,"Kurfürstentum Mainz, Weltliches Gericht Erfurt"
Landgericht,"Landgericht"
Landgrafschaft Hessen-Kassel,"Landgrafschaft Hessen-Kassel"
"Landgrafschaft Hessen-Kassel, Oberappellationsgericht","Landgrafschaft Hessen-Kassel, Oberappellationsgericht Kassel"
Landgrafschaft Hessen-Rheinfels-Rotenburg,"Landgrafschaft Hessen-Rheinfels-Rotenburg"
Landmiliz Mainz,"Landmiliz Mainz"
Landtag des Herzogtums Westfalen,"Herzogtum Westfalen, Landtag"
Lateinschule in Duderstadt,"Lateinschule Duderstadt"
"Liebfrauen", "Kollegiatstift Liebfrauen Mainz"
"Martinsstift", "Martinsstift"
