function_old
fürstbischöflich-würzburgischer wirklicher gelehrter Geheimer Rat
fürstbischöflich-würzburgischer wirklicher gelehrter Hofrat
erzherzoglich österreichischer Fürstenratsdirektorialgesandter
österreichischer Fürstenratsdirektorialgesandter
Fürstentratsdirektorialgesandter
fürstlich schwarzburgischer Leibarzt
Fürstentum Hohenlohe-Waldeburg Gesandter
Fürstentum Hohenlohe-Waldeburg-Schillingsfürst Amtmann
Fürstentum Hohenlohe-Waldeburg-Schillingsfürst Geheimer Rat
Fürstentum Hohenlohe-Waldeburg-Schillingsfürst Hofrat
Fürstentum Hohenlohe-Waldeburg-Schillingsfürst Kanzleidirektor
Fürstentum Hohenlohe-Waldeburg-Schillingsfürst Oberamtmann
Fürstentum Hohenzollern-Hechingen Gesandter beim Schwäbischen Reichskreis
fürstlich hohenzollern-hechingischer Geheimer Rat
fürstlich hohenzollern-hechingischer Hofrat
fürstlich hohenzollern-hechingischer Kanzler
fürstlich hohenzollern-sigmaringenischer Gesandter beim Schwäbischen Reichskreis
fürstlich hohenzollern-sigmaringischer erster Geheimer Rat
fürstlich hohenzollern-sigmaringischer Kanzler
fürstlich löwenstein-wertheimischer Hofrat
fürstlich nassau-weilburgischer Regierungsrat
fürstlich Thurn- und Taxisscher Reichspostmeister in Worms
fürstlich-nassauischer Geheimer Rat
Fürstprimas
Fürstprimas von Deutschland
fürstprimatialischer erster dirigierender Staatsminister
fürstprimatialischer Gouverneur
fürstprimatialischer Minister
fürstprimatialischer Präsidialgesandter
fürstprimatialischer wirklciher Geheimer Staatsrat
fürstprimatialischer wirklicher Geheimer Staatsrat
fürtlich isenburg-birsteinischer Regierungsrat
fürtlich isenburg-birsteinischer Regierungsvizedirektor
Futterherr
Gastwirt
Gastwirt zur Tanne
Geburt
Gegenkämmerer
Geheimer Rat
Geheimer und Regierungsrat
Geheimer Reichsreferendar
Geheimer Sekretär
Geheimer Secretarius, fürstlich Sachsen-Eisenachischer
Geheimer Sekretär, sachsen-eisenachischer
Geheimer Staatsrat
Geheimer Staatsrat, kurerzkanzlerischer
Geheimrat
Geistlicher Rat
Geistlicher Rat, erzbischöflich mainzischer
Geleits-Amtsverweser
Geleitschreiber
Geleits- und Postschreiber
gemeinschaftlicher Geheimer Rat des gesamten Hauses Hohenlohe-Waldenburg
Generaldirektor
Generalfeldzeugmeister
Generalkommissar
Generalvikar
Gerichtsassessor
Gerichts-Assessor
kurfürstlicher Gerichtsassessor
Gerichtsperson [Assessor?]
Gerichtsschreiber
Gerichtsschultheiß
Gesandter
Geschäftsträger
Gewaltbote
Gewürzhändler
Gouverneur des Kurerzkanzlers
Graf
gräflich metternich-winneburgischer Kanzleidirektor
gräflich osteinischer Rat
gräflich waldbott-bassenheimischer Oberamtmann
Großherzog
großherzoglich badischer Kämmerer
großherzoglich frankfurtischer außerordentlicher Gesandter und bevollmächtigter Minister
großherzoglich frankfurtischer wirklicher Geheimer Staatsrat
großherzoglich frrankfurtischer Staatsminister der Justiz, des Innern und der Polizei
großherzoglich hessischer Geheimer Rat
großherzoglich hessischer Hofgerichtsdirektor
großherzoglich hessischer Interimsdirektor
großherzoglich hessischer Kammerherr
großherzoglich hessischer Regierungsdirektor
großherzoglich hessischer Regierungspräsident
großherzoglich hessischer wirklicher Geheimer Rat
großherzoglich-frankfurtischer Staatskommissar
Großhofmeister
Großvater
Gubernator
habsburgische RKG-Präsentation
Häftling
Handelsmann
Handelsreisender
Händler
Hauptmann
Hauptmann der Miliz
österreichischer Hauptmann
Hauslehrer
Heringer
herzoglich pfalz-zweibrückenischer bevollmächtigter Minister
herzoglich-nassauischer Geheimer Rat
Historiker
Historiker und Quelleneditor
hoch- und deutschmeisterischer wirklicher Geheimer Rat
hochstiftisch, dann Fürstbistum Würzburg Geheimer Rat
Hof- und Kammergerichtsprotokollist, königlich preußischer
Hof- und Kammergerichtssekretär, königlich preußischer
Hof- und Kammerrat
Hof- und Regierungsrat, fürstlich Sachsen-Eisenachischer
Hof- und Regierungsrat
Hof- und Regierungsrat auf der gelehrten Bank
Hof- und Regierungsrat, kurmainzischer
Hofgerichtsadvokat, hochfürstlich gemeinschaftlicher
Hofgerichtsassessor
Hofgerichtspräsident
Hofgerichtsrat
Hofjunker
Hofkammerdirektor
Hofkammerrat
Hofkammervizepräsident
Hofkanzler
Hofkavalier
Hofmarschall
Hofmeister
Hofrat
Hofrat des Fürstabts von Corvey
Hofrat
Hofrat des Landgrafen Christian von Hessen-Rheinfels-Eschwege-Wanfried
erzbischöflich salzburgischer Hofrat
kurbayerischer Hofrat
Hofratspräsident
Hofrichter
Hospitalarzt
Hospitalschreiber
Hospitalverweser
Hospitalvorsteher
Humanista
Illuminat
Insepktor
Inspektor
Inspektor über die Renten und Gefälle
Inspektor über die Renten und Gefälle, interimsweise
Intendant
Jüngerer Bürgermeister
Juris Consulatus
Juris Consultus
Juris Utriusque Licentiati
Jurist
k.k. bevollmächtigter Minister
k.k. Kämmerer
k.k. vorderösterreichischer Regiments- und Kammerrat
Kadett in der österreichischen Armee
kaiserlich königlich vorderösterreichischer Kammerrat
kaiserlich königlich vorderösterreichischer Regierungsrat
kaiserlich königlicher Appellationsrat
kaiserlich königlicher Fähnrich
kaiserlich königlicher Kämmerer
kaiserlich königlicher Kreisdirektor
kaiserlich königlicher Leutnant
kaiserlich königlicher Stadthauptmann
kaiserlicher Geschäftsträger am kurfürstlichen bzw. großherzoglich badischen Hof
kaiserlicher Hofpfalzgraf
kaiserlicher Konkommissar
kaiserlicher öffentlicher Notar
Comes Palatinus Caesareus
kaiserlicher Postmeister
Kaiserlicher Rat
kaiserlicher Reichshofrat
Kaiserlicher Reichskammergerichtsassessor
kaiserlicher Resident beim Niedersächsischen Kreis
kaiserlicher RKG-Assessor
Kaiserlicher RKG-Präsentatus
kaiserlicher wirklicher Geheimer Rat
kaiserlicher wirklicher Reichshofrat auf der Ritter- und Gelehrtenbank
kaiserlicher und kaiserlich königlicher (Titular-)wirklicher Geheimer Rat
kaiserlich-königlicher oberösterreichischer Oberamtsdirektor der Landgrafschaft Nellenburg in Stockach
kaiserlich-königlicher oberösterreichischer Regimentsrat in Innsbruck
kaiserlich-königlicher Offizier
Kammerassessor
Kammerdirektor
Kammerdirektor]
Kämmereiaktuar
Kämmerer
erzbischöflich salzburgischer Kämmerer
Kämmerer
kurüfrstlich salzburgischer Kämmerer
Kammerherr
erzbischöflich salzburgischer Kammerherr
Kammerherr, kaiserlicher
Kammerkanzlist
Kammerkanzlist-Adjunkt cum spe successionis
Kammerkonsulent
Kammer- und Zahlmeister
Kammerpräsident
Kammerrat
vorderösterreichischer Kammerrat
Kammerrechnungsrevisor
Kammerregistrator
Kammerrichter
Kammerrichter-Amtsverweser
Kammersekretär
Kammerzahlmeister
Kanoniker
Kanonikus
Kantor
Kanzleiassessor
Kanzleidirektor
Kanzleidriektor
Kanzleirat
Kanzler
Kanzlist
Kapitän
Kapitular
Kapitularherr
Capitularherren/Domicellaren
katholischer RKG-Präsident
katholischer Täufling
Kauf- und Handelsherr
Kaufmann
Kauf- und Handelsmann
Kaufmannslehrling
Kellerey Prodselten
Kind
Kirchenvorsteher
Kirch- und Schulinspektor
Kirchvater
Koadjutor
Kommandant
Kommissar für das kurkölnische Schulwesen
Konferenzminister
Konfirmant
königlich bayerischer 2. Direktor
königlich bayerischer 2. Direktor der Obersten Justizstelle
königlich bayerischer 2. Direktor des Oberappellationsgerichts
königlich bayerischer 2. Präsident
königlich bayerischer Direktor
königlich bayerischer Generalkommissar
königlich bayerischer Kämmerer
königlich bayerischer Präsident
königlich bayerischer Staatsrat im ordentlichen Dienst
königlich bayerischer Verweser
königlich bayerischer Vizepräsident
königlich bayerischer wirklicher Staatsrat im außerordentlichen Dienst
königlich böhmischer Appellationsgerichtsrat
königlich großbritannische-kurbraunschweigischer Hof- und Kanzleirat
königlich württembergischer Staatssekretär der auswärtigen Angelegenheiten
königlich-bayerischer Gesandter
königlich-bayerischer Kämmerer
königlich-bayerischer Minister
königlich-bayerischer Präsident
königlich-bayerischer wirklicher Staatsrat im ordentlichen Dienst
königlich-württembergischer außerordentlicher Gesandter
königlich-württembergischer außerordentlicher Gesandter und bevollmächtigter Minister am königlich hannoveranischen Hof
königlich-württembergischer außerordentlicher Gesandter und bevollmächtigter Minister am königlich niederländischen Hof
königlich-württembergischer Gesandter
königlich-württembergischer Kammerherr
königlich-württembergischer Regierungspräsident
königlich-württembergischer Staatsrat
königlich-württembergischer wirklicher adliger Geheimer Rat
Konsistorialrat
Konsulent
Täufling
Konvertit
Kornhändler
Kramer
Kreisdirektor
Capitularherren/Domicellaren
Kriegs- und Domänenrat
Kriegsauditor
Kriegskasserier
Kriegskommissar
Kriegszahlmeister
Kriegszahlmeister
Kriminalreferendar
Küchenmeister
Kurator
Kurator]
kurbayerischer RKG-Assessor
kurbayerischer RKG-Präsentatus
kurbayerischer wirklicher Geheimer Rat
kurbayerischer wirklicher Hofrat
kurböhmischer Reichskammergerichtsassessor
kurböhmischer RKG-Assessor
kurbrandenburgischer Reichskammergeirchtsassessor
Kurerzkanzler
Kurfürst
Kurfürst]
kurkölnischer Appellationskommissar
kurkölnischer Direktor
kurkölnischer Geheimer Legationsrat
kurkölnischer Geheimer Rat
kurkölnischer gelehrter Hof- und Regierungsrat
kurkölnischer Hofkammeradvokat
kurkölnischer Hofkammerrat
kurkölnischer Hofrat
kurkölnischer Hofratsreferendar
kurkölnischer Kanzleidirektor
kurkölnischer Kommissar
kurkölnischer Kon-Lehendirektor
kurkölnischer Landtagskommissar
kurkölnischer Lehendirektor
kurkölnischer Oberappellationsgerichtsrat
kurkölnischer Page
kurkölnischer Rat
kurkölnischer RKG-Assessor
kurkölnischer Staats- und Konferenzminister
kurkölnischer Vizekanzleidirektor
kurkölnischer wirklicher Geheimer Rat
kurkölnischer wirklicher Geheimer Staats- und Konferenzrat
kurkölnischer wirklicher gelehrter Hof- und Regierungsrat
kurkölnischer wirklicher Kämmerer
kurmainzischer (Titular-)Rat
kurmainzischer adliger Hof- und Regierungsrat
kurmainzischer Direktorialgesandter
kurmainzischer erster Geheimer Referendar
kurmainzischer erster Staatsminister
kurmainzischer Geheimer Kabinettssekretär
kurmainzischer Geheimer Rat
kurmainzischer gelehrter Hof- und Regierungsrat
kurmainzischer Hauptmann
kurmainzischer Hof- und Regierungsrat
kurmainzischer Hofgerichtsassessor
kurmainzischer Hofgerichtsrat
kurmainzischer Hofkanzler
kurmainzischer Kammerherr
kurmainzischer Konferenzminister
kurmainzischer Kriegskonferenzrat
kurmainzischer Oberlandesgerichtsassessor
kurmainzischer Prinzipalgesandter
kurmainzischer Regierungsrat
kurmainzischer Reichsdirektorialgesandter
Kurmainzischer Reichskammergerichtsassessor
kurmainzischer Revisionsrat
kurmainzischer RKG-Assessor
kurmainzischer RKG-Präsentatus
kurmainzischer Stadtgerichtsassessor
kurmainzischer subdelegierter kaiserlicher Kommissar
kurmainzischer Titular-Hofgerichtsrat
kurmainzischer Titular-Hofrat
kurmainzischer wirklicher Geheimer Staatsrat
kurmainzischer wirklicher Hof- und Regierungsrat
kurmainzischer wirklicher Hof- und Regierungsrat auf der Gelehrtenbank
kurmainzischer wirklicher Staats- und Konferenzminister
kurmainzischer Zentrgrafadjunkt
kurmainzischer zweiter Geheimer Referendar
kurmainzischer und kaiserlicher Diplomat
kursächsischer Geheimer Rat
kurtrierischer adliger Geheimer Rat
kurtrierischer adliger Hof- und Regierungsrat
kurtrierischer adliger Hofrat auf der Ritterbank
kurtrierischer Advocatus patriae ordinarius
kurtrierischer Assessor
kurtrierischer erster Revisionsrat
kurtrierischer erster Stadtschultheiß
kurtrierischer Geheimer Rat
kurtrierischer Geheimer Sekretär
kurtrierischer gelehrter Hof- und Regierungsrat
kurtrierischer Gesandter
kurtrierischer Hochgerichtsschöffe
kurtrierischer Hof- und Regierungsrat
kurtrierischer Hof- und Revisionsrat
kurtrierischer Hofgerichtsdirektor
kurtrierischer Hofgerichtsrat
kurtrierischer Hofkanzler
kurtrierischer Höfling
kurtrierischer Hofrat
kurtrierischer Hofratssekretär
kurtrierischer Kämmerer
kurtrierischer Kanzleidirektor
kurtrierischer Lehendirektor
kurtrierischer Lehenprobst
kurtrierischer Offizialats-Assessor
kurtrierischer Rat
kurtrierischer Revisionsrat
kurtrierischer RKG-Assessor
kurtrierischer RKG-Präsentatus
kurtrierischer Stadtschultheiß
kurtrierischer Syndikus
kurtrierischer Vizekanzler
kurtrierischer wirklicher Geheimer Rat
kurtrierischer wirklicher gelehrter Hof- und Regierungsrat
kurtrierischer wirklicher Hofrat
Kurfürst-Erzbischof
kurhessischer Kämmerer
kurkölnisch-Fürstbistum Paderborn Hofrat
kurmainzische Dienste
kurpfälzischer Abgesandter
kurpfälzischer adliger Hofgerichtsrat
kurpfälzischer bevollmächtigter Minister
kurpfälzischer Geheimer Rat
kurpfälzischer Hofgerichtsadvokat
kurpfälzischer Hofgerichtsrat
kurpfälzischer Hofrat
kurpfälzischer Kriegsauditor
kurpfälzischer Landesregierungsrat
kurpfälzischer Oberappelationsgerichtsrat
kurpfälzischer Regierungsadvokat
kurpfälzischer Regierungsrat
kurpfälzischer Regierungsreferendar in Kriminal- und Zivilsachen
kurpfälzischer Revisionsrat
kurpfälzischer RKG-Assessor
kurpfälzischer Subdelegierter
kurpfälzischer wirklicher gelehrter Regierungsrat
kurpfälzischer wirklicher Landvisitationskommissar
kurpfälzich-herzoglich jülich-bergischer Rat
kurpfälzich-herzoglich jülich-bergischer Referendar
kurpfälzisch-herzoglich-pfalz-neuburgischer adliger Geheimer Rat
kurpfälzisch-herzoglich-pfalz-neuburgischer Geheimer Rat
kurpfälzisch-herzoglich-pfalz-neuburgischer Hof- und Regierungsrat
kurpfälzisch-herzoglich-pfalz-neuburgischer Regierungspräsident
kurpfälzisch-herzoglich-pfalz-neuburgischer Vizekanzler
kurpfälzisch-pfalz-neuburgischer adliger Regierungsrat
kurpfälzisch-pfalz-neuburgischer Oberpolizeikommissar
kurpfälzisch-pfalz-neuburgischer Regierungsvizepräsident
kurpfälzisch-pfalz-neuburgischer wirklicher adliger Geheimer Rat
Landeinnehmer
landgräflich hessen-Kasselscher Burggraf
landgräflich hessen-rotenburg-rheinfelsischer Hofrat
landgräflich-hessen-rheinfels-rotenburgischer Kanzleidirektor
landgräflich-hessen-rheinfels-rotenburgischer Kanzleirat
landgräflich-hessischer Hofgerichtsrat
landgräflich-hessischer Konsistorialrat
landgräflich-hessischer Regierungsrat
Landkommissar
Landphysicus
Landphysikus
Landrat, königlich preußischer
Landrentmeister
Landschreiber
Landschreiber im Eichsfeld
Landsyndikus
Landvogt der Landgrafschaft Nellenburg
Landwirt
lebenslängliches Mitglied
Legationsrat bei den kurfürstlichen Wahldenunziations-Botschaften an die Höfe München, Wien und Prag
Legationssekretär
Lehenprobst
Lehnssekretär
Lehrer
Lehrer der Mathematik
Lehrling
Leibarzt
leitender Staatsminister
Leiter
Leiter des Archivs
Leutnant
Lic. examiniatus
logicae studiosus
logices candidatus
Logicus
Lokaloberer
Mag. phil.
Magnificus Dn. [?] Rector
markgräflich baden-badenischer Hof- und Regierungsrat
markgräflich baden-badenischer Hofrat
markgräflich baden-badensche Dienste
markgräflich baden-badischer Hofrat
markgräflich baden-badischer Oberamtmann
markgräflich baden-badischer Titular-Geheimer Rat
markgräflich brandenburg-ansbachischer Hof-, Regierungs- und Justizrat
markgräflich brandenburg-ansbachischer Kammerjunker
markgräflich brandenburg-ansbachischer Vizepräsident
Materialist
Mediziner
Meister
Miinisterialdirektor
Minister
Minister der Finanzen
Minister des Kurerzkanzlers
Ministerialdirektor
Ministerialdirektor
Ministerresident
Mitglied
Mitinspektor
Mutter
Not. Caes. Publ
Notar
Notar
Supernumerar
Notarius
Notarius Publicus Caesareus
Ober-)Amtmann
Oberamtmann
sächsischer Oberamtmann
Oberamtmann
Oberappelationsrat
landgräflich hessen-darmstädtischer Oberappellationsrat
Oberaufseher
Oberbauherr
Oberbauherr
Oberbaumeister
Ober-Bürgermeister
Oberchorbischof
Oberdirektor
Oberer Ratsmeister
Oberfutterherr
Obergeleitschreiber
Obergeleitsschreiber
Oberhofmarschall
kurüfrstlich salzburgischer Oberhofrichter
Oberinspektor
Oberkammerdirektor
Oberkämmerer
Oberkammerrat
Obermarktherr
Obermarschall
Obermarschall
Obermeister
oberösterreichischer Gubernialrat
Oberratsherr
Oberratsmeister
Oberschatzungsherr
Oberschlossherr
Oberstadtvogt
oberster Bürgermeister
oberster Gerichtsassessor
oberster Leiter der Departements
oberster Leiter der Staatsgeschäfte
Oberster Ratsmeister
Oberster Vierherr
Oberstratsmeister
Obervierherr
Oberzweiermann
Ober-Zweiermann
Obrist
Obristleutnant
Obristratsmeister
Obrist-Ratsmeister
Obristratsmeister 
Obriststallmeister
Obristwachtmeister
Offizier
ordentlicher Professor des Staatsrechts und der praktischen Philosophie
ordentlicher Professor iur.
ordentlicher Professor iuris
ordentlicher Professor iuris für Institutionen
ordentlicher Professor iuris für Ius publicum
ordentlicher Professor iuris für Pandekten
Organisationskommissar zur Wiederherstellung der alten Ordnung in der rückeroberten Residenzstadt
Page
Pastor
Pate
Patin
Patricius
Pensionär
Persönlicher Sekretär
Persönlicher Sekretär des Johann Ernst Grafen Herberstein
Comes palatinus
Pfannenherr
Pfarrer
Pfarreradjunkt
Physicus
Plenipotentarius
Poeta
Polizeykommissar
Posamentiermeister
Postkommissar
Postmeister
Postschreiber
Präfekt
Praktikant
Praktikum
Präseident
Präses
Präsident
österreichischer Präsidialgesandter
Prätor
Präzeptor
Präzeptor Classicus
Prediger
Priester
Primas der Stände des Eichsfeldes
kurmainzischer?] Prinzipalgesandter
Priorin
Privatdozent
Privatier
Privatlehrer
Privatsekretär
Probst
Prodekan
Prof. Theol.
Professoer
Professor
Professor  Juris
Professor beider Rechte
Professor beider Rechte
Professor beider Wissenschaften
Professor Codicis
Professor Decretalium
Professor der Anatomie, Chirurgie und Botanik
Professor der Arzneigelehrsamkeit
Professor der Arzneigelehrsamkeit
Professor der Institutionen
Professor der Institutionum Juris [sic!]
Professor der Jurisprudenz
Professor der Kammeralwissenschaften
Professor der Logik und Ethik
Professor der Mathematik
Professor der Mathematik und Philosophie
Professor der Mathematik
Professor der Medizin
Professor der Pandekten
Professor der Pandekten
Professor der Philosophie und der Rechte
Professor der Philosophie und Kammeralwissenschaften
Professor der Philosophie und Kammeralwissenschaften
Professor der Physik und der Sprachen
Professor der Politik
Professor der Rechte
Professor der Rechte un der Geschichte
Professor der Rechte und Geschichte
Professor der Rechte und Philosophie
Professor der Rechte
Professor der Rechte
Professor der Rechte
Professor der Rechte, Geschichte und praktischen Philosophie
Professor der Rechte
Professor der Rechtswissenschaft
Professor der Rechtswissenschaften
Professor der Weltweisheit
Professor der Weltweisheit
Professor des Codex
Professor des Lehnrechts
Professor des Lehnrechts, ordentlicher
Professor des Staatsrechts und der Geschichte
Professor des Staatsrechts und der Historie
Professor des Staatsrechts und Historie
Professor für deutsches Staatsrecht
Professor für kanonisches Recht
Professor Historiarium & Philosophiae Practicae, ordentlicher
Professor Institut.
Professor Institutionum
Professor Institutionum, ordentlicher
Professor iur.
Professor iuris
Professor Iuris Extraordinarius
Professor Iuris feudalis
Professor iuris für Zivilrecht
Professor iuris naturae, gentium & publici, außerordentlicher
Professor Iuris Publ. et Hist.
Professor Iuris Publici
Professor iuris publici & Historiarum
Professor Iuris Publici Ordinarius
Professor iuris, außerordentlicher
Professor iuris, ordentlicher
Professor iurs publicus ordinarius et salriata
Professor Juris
Professor juris publici
Professor Juris Publici & Histor.
Professor Juris Publici und Hist.
Professor Juris, außerordentlicher
Professor Juris, ordentlicher
Professor med.
Professor ordinarius des Staatsrechts und der Historie
Professor Pandectarum
Professor Pandectarum, ordentlicher
Professor Publicus
Professor Publicus Ordinarius Codicis
Professor Publicus Ordinarius Decretalium
Professor Publicus Ordinarius Iuris
außerordentlicher Professor
Professor, außerordentlicher
außerordentlicher Professor der Rechte
außerordentlicher Professor der Rechtswissenschaften
außerordentlicher Professor iur.
außerordentlicher Professor iuris
außerordentlicher Professor iurs
ordentlicher Professor des Staatsrechts und der praktischen Philosophie
Professor Codicis
Professor für kanonisches Recht
Professor des Codex
Professor Iuris Extraordinarius
ordentlicher Professor des Staatsrechts
ordentlicher Professor für Staatsrecht (ius publicum)
Professor Iuris Publici
Professor iuris publici & Historiarum
Professor Iuris Publici Ordinarius
Professor iuris
Professor iurs publicus ordinarius et salriata
Professor des Lehnrechts
Professor med.
Prokanzler
Prokurator
Prorektor
Protephor
Publizist
Rat
sächsischer Rat
Vizedomamts]Rat
Räte und Assessoren
Ratsbedienter
Ratsherr
Ratskämmerer
Ratsmeister
Ratsoberster
Ratssyndikus
Ratsverwandter
Rechtsanwalt
Rechtskonsulent
Rechtspraktikant
Rechtswissenschaftler
Rector Magificus
Rector Magnificentissimus
Rector Magnificus
Referendarius
Referent
Regierungsassessor
Regierungsdirektor
Regierungs- und Kanzleidirektor
Regierungskanzlist
Regierungspräsident
Regierungsrat
landgräflich hessen-darmstädtischer Regierungsrat
vorderösterreichischer Regierungsrat
Regierungsrat
Regierungssekretär
Regimentsquartiermeister
niederösterreichischer Regimentsrat
kurmainzischer] Reichsdirektorialgesandter
Reichshofrat
Reichshofrat auf der Ritter- und Gelehrtenbank
Reichshofrat
Reichshofratspraktikant
Reichskammergerichtsassessor des Bayerischen Kreises
