place_old;place_new;comment_fs;suffix;community;region_1;region_2;continent;variant_1;variant_2;variant_3;Source
Benzheimensis;Benzheim;;;;;;Europe;;;;Universitätsmatrikeln
Bercklariensis;Bercklari;;;;;;Europe;;;;Universitätsmatrikeln
Berenshusanus;Berenshausen;;;;;;Europe;;;;Universitätsmatrikeln
Berenshusanus/Eichsf;Berenshausen, Eichsfeld;;;;;;Europe;;;;Universitätsmatrikeln
BERGEN DVCATUS.;Herzogtum Bergen;;;;;;Europe;;;;HassiaSuperior
Bergen];Bergen];;;;;;Europe;;;;HassiaSuperior
Bergensis;Berg;;;;;;Europe;;;;Universitätsmatrikeln
Berghausen;Berghausen;;;;;;Europe;;;;Universitätsmatrikeln
Bergkastel;Bergkastel;;;;;;Europe;;;;Universitätsmatrikeln
Bergrheinfeld;Bergrheinfeld;;;;;;Europe;;;;Universitätsmatrikeln
Bergtheimensis;Bergtheim;;;;;;Europe;;;;Universitätsmatrikeln
Beringhausen in Westfalen;Beringhausen, Westfalen;;;;;;Europe;;;;ProfAPI
Beringhausen/Westf;Beringhausen, Westfalen;;;;;;Europe;;;;Universitätsmatrikeln
Beringhusanus;Beringhusanus;;;;;;Europe;;;;Universitätsmatrikeln
Berleburg;Berleburg;;;;;;Europe;;;;HassiaSuperior
Berlichingen;Berlichingen;;;;;;Europe;;;;Universitätsmatrikeln
Berlichingen/Ufr;Berlichingen, Unterfranken;;;;;;Europe;;;;Universitätsmatrikeln
Berlin;Berlin;;;;;;Europe;;;;ProfAPI
Berlingen;Berlingen;;;;;;Europe;;;;Universitätsmatrikeln
Berlingensis;Berlingen;;;;;;Europe;;;;Universitätsmatrikeln
Berlingerodanus;Berlingerode;;;;;;Europe;;;;Universitätsmatrikeln
Berlin-Mitte;Berlin-Mitte;;;;;;Europe;"Alt-Kölln;Kölln;Kölln an der Spree; Cölln; Cölln an der Spree";;;G / 1699 Oktober 24
Bernardus;Bernardus;;;;;;Europe;;;;Universitätsmatrikeln
Berncassellanus;Bernkastel;;;;;;Europe;;;;Universitätsmatrikeln
Berncastellanus;Bernkastel;;;;;;Europe;;;;Universitätsmatrikeln
Berndillensis;Berndill;;;;;;Europe;;;;Universitätsmatrikeln
Berndrodanus;Berndrodanus;;;;;;Europe;;;;Universitätsmatrikeln
Berngerota;Berngerota;;;;;;Europe;;;;HassiaSuperior
Bernkastel;Bernkastel;;;;;;Europe;;;;Universitätsmatrikeln
Bernkastel-Kues;Bernkastel-Kues;;;;;;Europe;;;;Universitätsmatrikeln
Bernsfeldensis;Bernsfeld;;;;;;Europe;;;;Universitätsmatrikeln
Bernshusanus;Bernshusanus;;;;;;Europe;;;;Universitätsmatrikeln
Berntroda/Eichsf;Berntroda, Eichsfeld;;;;;;Europe;;;;Universitätsmatrikeln
