person_name,person_id,person_id_temporary,person_id_jgu,person_id_DigiKAR_final,person_name_variants
Veronica Martini,257,,,257,
Johann Martini,258,,,258,
Veronica Gerstenberger,266,,,258,
Johannes Martini,258,,,258,
Veronica Kronenberger,258,,,258,
Marcus Gerstenberg,259,,,259,
Marcus Gerstenberger,259,,,259,Gerstenberg
Justina Gerstenberger,260,,,260,
Johann Christoph Dehmar,261,,,261,
Regina Gerstenberger,262,,,262,
Regina Gerstenberger,263,,,262,
Heinrich Langguth,263,,,263,
Heinrich Langut,263,,,263,Langguth
Henricus Langut,263,,,263,
Dorothea Gerstenberger,264,,,264,
Johann Scheffer,265,,,265,Schäfer
Georg de Ahna,267,,,267,
Dorothea Hentrich,268,,,268,
Martha Catharina von der Sachsen ,269,,,269,
Jacob von der Sachsen,270,,,270,
Martha Gerstenberger ,272,,,272,
Hieronymus Gerstenberger ,273,,,273,
Johann Heinrich Menius,274,,,274,
N.N. Menius,274,,,274,
Catharina von Bodewitz,275,,,275,
Henrich Gerstenberg,276,,,276,
Henrich Rudolph Gerstenberger,277,,,276,
Johann Heinrich von Gerstenberg,278,,,278,
Sibylla Veronica Gerstenberg,279,,,279,
Anna Salome von Ehrenkron,280,,,280,
Anna Salome Jacobi von Ehrencron,280,,,280,
Hartmann Jacob von Ehrenkron,281,,,281,
Anna Salome de Lasser,282,,,282,
Moritz von Gudenus,?,,,283,
Moritz Gudenus,283,,,283,Moritz Gude
Johannes Leopold von Gudenus,284,,,284,
Wilhelm Streit,285,,,285,
Henrich Adam Streit,286,,,286,
Heinrich Adam Streit,286,,,286,
Georg Henrich Streit,287,,,287,
Urbanus Josephus Streit ,288,,,288,
Antonius Hallenhorst ,288,,,288,
Anthonius Hallenhorst ,288,,,288,
Anton Hallenhorst ,288,,,288,
Anna Hövel,289,,,289,
Maria Brand ,290,,,290,
Maria Brandt ,362,,,290,
Maria Brandt ,290,,,290,
Maria Brand,290,,,290,
Johannes Brandis ,291,,,291,
Hieronymus Anthon Hallenhorst,291,,,291,
Hieronymus Anton Hallenhorst,291,,,291,
Heinrich Adam Hallenhorst,292,,,292,
Heinrich Adam Hallenhorst,296,,,292,
Heinrich Brand,3376,,,293,
Heinrich Brand,293,,,293,
Heinrich II Brandt,293,,,293,
Heinrich II. Brand,293,,,293,
Barbara Richthäuser ,294,,,294,
Barbara Richthauser,294,,,294,
Anne Sabine Ziegler,295,,,295,
Anna Sabina Ziegler,295,,,295,
Regina Sabina Hallenhorst,297,,,297,
Juditha Sophia Hallenhorst,297,,,297,
Johann Christoph Frikkinger ,298,,,298,Frickinger
Christoph Frickinger,298,,,298,
Franz Leopold Hunold,299,,,299,
George Sigismund Hunold,300,,,300,
Valentin Bader,301,,,301,
Catharina Herr,302,,,302,
Friderica Sophia Louise Jungk,303,,,303,
Friederike Sophie Louise Schmidt,303,,,303,
Johann Caspar Jungk ,304,,,304,
Johann Kaspar Jungk,304,,,304,
Paulus Jungk,305,,,305,
Elisabeth Gärtner,306,,,306,
Christian Ferdinand von Zedtwitz ,307,,,307,
Johanna Louise Schmidt,308,,,308,Schmied
Jacob Samuel Schmidt,309,,,309,
Catharina Margaretha Rennemann ,310,,,310,
Catharina Margaretha Rennemann,310,,,310,
Georg Melchior von Ludolph,311,,,311,
Georg Melchior von Ludolff,311,,,311,Leutholf
George Melchior von Ludolf,311,,,311,
Georg Melchior von Ludolf,311,,,311,
Georg Melchior Ludolf,311,,,311,Ludolff / Ludolph / Ludolphus
Martha Benigna Schmidt,312,,,312,
Martha Benigna Schmidt],312,,,312,
Dorothea Magdalena Brießmann,313,,,313,
Juditha Margaretha von Seltzer,314,,,314,
Judith Margarethe Seltzer,314,,,314,
Jeremias Herbord von Seltzer,315,,,315,
Jeremias Herbord Seltzer,315,,,315,
Dorothea von Utzberg,316,,,316,
Melchior Schmidt,317,,,317,
Anna Regina Kniphoff,318,,,318,
Johann Melchior Kniphoff,319,,,319,
Johann Melchior Kniephoff,319,,,319,
Johann Melchior der Jüngere Kniphoff,319,,,319,
Johann Matthiae,320,,,320,
Magdalena Müller,321,,,321,
Cyriacus Müller ,322,,,322,
Cyriax Müller ,322,,,322,
Martha Ilgen,323,,,323,
Heinrich Ilgen der Jüngere,324,,,324,
Heinrich Ilgen junior,324,,,324,
Martha Mohr,325,,,325,
Anna Christina Meltzer,326,,,326,
Johann Stechanius,327,,,327,
Sabina Magdalena Wolff,328,,,328,Sabina Magdalena von der Marthen
Sabina Magdalena Wolff,330,,,328,Sabina Magdalena von der Marthen
Sabina Magdalena von der Marthen,328,,,328,
Henning von der Marthen,329,,,329,
Martha Christina Sophie Brückner,331,,,331,
Hieronymus Friedrich Brückner,332,,,332,
Johannes Weltz,333,,,333,
N.N.,334,,,334,
Catharina von Ryssel,335,,,335,
Eduard Brochhausen,336,,,336,
Lucia Biermann,337,,,337,
Judith Ludolff ,338,,,338,
Judith Ludolph,338,,,338,
Hiob Ludolff ,339,,,339,
Hiob Ludolf ,339,,,339,
Hiob Ludolph,339,,,339,
Hiob Ludolf,339,,,339,
Hiob I. Ludolph,339,,,339,
Andreas Heinrich Brochhausen,340,,,340,
Johann Joachim Brochhausen,341,,,341,
Christina Brochhausen ,342,,,342,
Christina Brochhausen,342,,,342,
Johann Wilhelm Sömmering,343,,,343,
Regine Brochhausen ,344,,,344,
Johann Ernst Brochhausen ,345,,,345,
Johann Ernst Brockhausen,345?,,,345,
Jost Heinrich Brochhausen,346,,,346,
Jost Heinrich Brockhausen,191?,,,346,
Johan Jacob Brochhausen,347,,,347,
Angela Brochhausen,348,,,348,
Tobias Emanuel Adami ,349,,,349,
Tobias Emanuel Adami,349,,,349,
Anna Magdalena Brochhausen ,350,,,350,
Johann Christoph Evander,350,,,350,
Johann Georg Evander,351,,,351,
Johann Jacob Waldbott von Bassenheim,352,,,352,
Johann Jacob Walpoth von Bassenheim,352,,,352,
Johann Jacob von Walpott,352,,,352,Johannes Jacobus Walbott a Bassenheim et Bornheim
Johann Jacob Waldbott,352,,,352,
Johann Jakob von Waldbott-Olbrueck,352,,,352,
Barbara Brandt ,353,,,353,
Heinrich Jacob Brandt,354,,,354,
David Brandt ,355,,,355,
Martha Brandt ,356,,,356,
Balthasar Rudolph Brandt ,357,,,357,
Hieronymus Brandt ,358,,,358,
Conrad Theodoricus Brandt ,359,,,359,Dietrich
Christina Brandt ,360,,,360,
Johann Melchior Brandt,361,,,361,
Agatha von Bingen,363,,,363,
Anna Maria Barbara von Bielstein,364,,,364,
Beate Franziska Gudenus,365,,,365,
Maria Josefa Salome Gudenus,366,,,366,
Judith Brandt,367,,,367,
Adelgunde Gudenus ,368,,,368,
Maria Theresia Gudenus ,369,,,369,
Carl Josef Dresanus,370,,,370,
Karl Josef Dresanus,370,,,370,
Johann Leopold Gudenus,371,,,371,
Johannes Leopold Gudenus,371,,,371,
Jacob Moritz Gudenus,372,,,372,
Franziska Beata Gudenus,373,,,373,
Johann Adam von Eck,374,,,374,
Friedrich Wilhelm Gudenus,375,,,375,
Anna Elisabeth Maria Emilia von Tattenberg und Rheinstein,376,,,376,
Johann Daniel Gudenus ,377,,,377,
Franz Christoph Gudenus,379,,,379,
Maria Katharina Gudenus,380,,,380,
Beata Stein,381,,,381,
Beate Stein,381,,,381,
Hans Stein,382,,,382,
Elisabeth Ziegenhorn,383,,,383,
Johann Daniel Gudenus,384,,,384,
Anna Katharina Gudenus,385,,,385,
N.N. Wedelmann,386,,,386,
Anna Beate Gudenus ,387,,,387,
Anna Christiana Gudenus,388,,,388,
Johann Dietrich Theodor Heiland,389,,,389,
Johann Christoph Gudenus,OCR,,,390,
Johann Christoph Gudenus,390,,,390,
Maria Clara Thavonath,391,,,391,
Urban Ferdinand Gudenus ,392,,,392,
Lotharia Mechtildis von Birkig,393,,,393,
Georg Friedrich Gudenus,394,,,394,
Johanna Franziska von Birkig,395,,,395,
Dorothea Sibylla von der Weser,396,,,396,
Magdalene Franziska Isselbach,397,,,397,
Johanna Klara Gudenus,398,,,398,
Christoffel Gudenus,399,,,399,
Ursula vom Hoffe,400,,,400,
Johannes d.Ä. Gudenus,401,,,401,
Margaretha Gudenus,402,,,402,
Johannes d.J. Gudenus,403,,,403,
Maria Josefa Felizitas Gudenus,404,,,404,
Johann Georg Mauritius Gudenus,405,,,405,
Maria Franziska Theresia Josefa Gudenus,406,,,406,
Maria Katharina Barbara Anastasia Gudenus,407,,,407,
Friedrich Wilhelm Moritz Bernhard Gudenus,408,,,408,
Friedrich Wilhelm Moritz Bernhard von Gudenus,408,,,408,
Eva Sabina Straub,409,,,409,
F. L. Löber,410,,,410,
Friedrich Leonhard Löber,410,,,410,
Leonhard Löber,410,,,410,Loeber
Philipp Wilhelm Meinong,411,,,411,
Johann Jakob Josef Franz Gudenus,412,,,412,
Johann Jakob Josef Franz Gudenus,26,,,412,
Johann Jakob Josef Franz von Gudenus,26,,,412,
Johann Jakob Josef Franz von Gudenus,412,,,412,
Benedikt von Döttinchem,413,,,413,
Ursula Loscant,414,,,414,
Anselm Friedrich Adolf Gudenus,415,,,415,
Anselm Friedrich von Gudenus,415,,,415,
Johann Adolf Damian Gudenus,416,,,416,
Adolf Johann Sigismund von Gudenus,416,,,416,
Mauritius Ferdinand Anton Gudenus,417,,,417,
Moritz Ferdinand von Gudenus,417,,,417,
Hans Hugold Strecker,419,,,419,Johannes Hugold Strecker
Anna Maria Sältzer,420,,,420,
Maria Agnes Jordan,422,,,422,
Philipp Kaspar Strecker,423,,,423,
Johann Christoph Strecker,424,,,424,
Elise Ständer,425,,,425,
Johann Hugo Strecker,426,,,426,
Elisabeth Wolf,427,,,427,
Johann Franz Strecker,428,,,428,
Apollonia Elise Marie Simon,429,,,429,
Maria Anna Strecker,429,,,429,
Dorothea Elisabeth Strecker,430,,,430,
Hans Georg Hentrich,431,,,431,
Maria Katharina Strecker,432,,,432,
Johann Valtin Kaltwasser,433,,,433,
Friedrich Christian August Strecker,434,,,434,
Georg Heinrich Gottlieb Strecker,435,,,435,
Maria Anna Wagner,436,,,436,
Maria Maximilia Christina Antonetta Strecker,437,,,437,
Anna Catharina Wilhelmina Josepha Strecker,438,,,438,
Ivo Johannes Stahl,439,,,439,
Ivo Johann Stahl,439,,,439,
Ivo Stahl,439,,,439,
Catharina Molitoris,440,,,440,
Alexander Johann Strecker,441,,,441,
Alexander Strecker,441,,,441,
Maria Susanna von Zwehl,442,,,442,
Maria Anna Francisca Renata Strecker,443,,,443,
Maria Wilhelmina Josepha Strecker,444,,,444,
Johann Bernhard Strecker,445,,,445,
Maria Anna Francisca Wagner,446,,,446,
Ernst Friedrich Hugo Strecker,447,,,447,
Alexander Bernhard Johann Nepomuk Strecker,448,,,448,
N.N. Strecker,449,,,449,
Adam Ignaz Turin,450,,,450,
Adam Ignatz Turin,450,,,450,
Adam Ignatius Turin,450,,,450,
Adam Ignaz Durino,450,,,450,
Johann Herwig von Zwehl,451,,,451,
Karl Wilhelm Anton Strecker,452,,,452,
Carl Wilhelm Strecker,452,,,452,
Agnes Turin,453,,,453,
Maria Francisca Renate Strecker,454,,,454,
Franciscus Jacobus Johannes Nepomuk Strecker,455,,,455,
Sophia Katharina Josepha Strecker,456,,,456,
Karl Friedrich Wunderlich,457,,,457,
Susanna Josepha Strecker,458,,,458,
Johann Jakob Dominicus,459,,,459,
Jakob Dominicus,459?,,,459,
Henricus Strecker,460,,,460,
Maria Apollonia Wilhelmina Susanna Strecker,461,,,461,
Regina Elisabeth Tentzel,462,,,462,
Friedrich Heinrich Jakob,463,,,463,
Friedrich Heinrich Jacobs,463,,,463,
M. Friedrich Heinrich Jacobs,463,,,463,
Christine Elisabeth Tentzel,464,,,464,
Hieronymus Gottlieb Tentzel,465,,,465,
Johann Friedrich Tentzel,466,,,466,
Salome Sophia Tentzel,468,,,468,
Christian Friedrich Schelhas,469,,,469,
Christian Friedrich Schellhas,469,,,469,
Regina Adami,476,,,470,
Barbara Happe,471,,,471,
Ernst II Tentzel,472,,,472,
Elisabeth Bonner,473,,,473,
Johann Gottlieb Adami,473,,,473,
Johann Gottlieb Adami,473?,,,473,
Regina Brückner,474,,,474,
Rudolph Adami,475,,,475,
Johann Christian Tentzel,476,,,476,
Stephan Bonner,477,,,477,
Anna Siebold,478,,,478,
Juditha Margaretha Döring,479,,,479,
Sabine Magdalene von Eberbach,480,,,480,
Benigna von der Sachsen,481,,,481,
Tobias Emmanuel Adami ,482,,,482,
Tobias Adami ,482,,,482,
Christian Wilhelm von Brettin,482,,,482,
Tobias Adami,482,,,482,
Dorothea von der Sachsen,483,,,483,
Henning Rennemann,485,,,485,Henningus Rennemann
Justus Josias Rennemann ,486,,,486,
Helmoldevigus Rennemann,487,,,487,
Margaretha Sprocovius,488,,,488,
Maria Northausen,488,,,488,
Lydia Rothart ,489,,,489,
Lydia Rothardt ,489,,,489,
Maria Northausen ,490,,,490,
Gottfried von Benzel-Sternau,491,,,491,
Johann Jakob Bentzell,492,,,492,
Johann Jakob Josef Benzel,492,,,492,Benzell
Anselm Franz von Bentzel-Sternau,493,,,493,
Franz Anselm Freiherr von Benzel,493,,,493,Benzell
Anselm Franz Freiherr von Benzel,493,,,493,Benzell
Hans von Ingelheim,494,,,494,
N.N. von Clemens-Millwitz,495,,,495,
N.N. von Boineburg,496,,,496,
N.N. von Boyneburg,496,,,496,
Berthold Boineburg,496,,,496,
Melchior Friedrich zu Schönborn,497,,,497,
Anna Sophia von Boineburg,498,,,498,
Barbara von Buttlar,499,,,499,
N.N. Meier,500,,,500,
Christoph Gudenus,501,,,501,
Sophia Dorothea Faligken,502,,,502,
Maria Josepha Theresia Molitoris,503,,,503,Maria Josepha Theresia de Clemens
Anna Josepha Wallburgis von Clemens,504,,,504,
Anna Josepha von Clemens,504,,,504,
Robert Balthasar von Klemens,53,505.0,,505,Rupert Klemens
Robert Balthasar von Klemens,505,505.0,,505,Rupert Klemens
Robert Balthasar von Klemens,53,,,505,Rupert Klemens
Robert Balthasar von Clemens,505,,,505,
Robert Balthasar Adam Clemens,505,,,505,Clemenz
Robert Clemens,505,,,505,Clemenz
Maria Margaretha von Clemens,506,,,506,
N.N. Fritz,507,,,507,
Susanna Theresia Fritz,508,,,508,
Catharina Höglein,510,,,510,Catharina Hoeglien
M. E. L. [?] von Gerstenberg,511,,,511,
N.N. von Sommerlatte ,512,,,512,
Bernhard von Sommerlattae,512,,,512,
Otto Arnold von Sommerlattae,512,,,512,
Charlotte von Bellmont,513,,,513,
Maria Angelica Bendleb,514,,,514,
Christian Samuel Graberg,515,,,515,
Eva Eleonora Schmidt,516,,,516,
Rosina Chrisitna Fratzscher,517,,,517,
M. Georg Berger,519,,,519,
Jacobus M. Berger,520,,,520,
Judith Brochhausen,522,,,522,
Jost Christoph Reinhardt,523,,,523,
David Hamilton,524,,,524,
Laurentius Heinrici,525,,,525,Laurentius Heine
Heinrich Wilhelm Ludolf,526,,,526,
Martha Benigna Ludolf ,527,,,527,
Caspar Friedrich Heidenreich,528,,,528,
Hans Ludolf,529,,,529,Hans Lidloff
Anna Gebhard,530,,,530,Anna Wesener
Conrad Brand ,531,,,531,
Christina Gebhard,532,,,532,
Jonas Meltzer,533,,,533,Johann Meltzer / Johann Möltzer / Jonas Möltzer
Martha Catharina von Utzberg,534,,,534,
Jeremias Schorch,536,,,536,
Martha Birnstiel,540,,,540,
Jeremias Birnstiel,541,,,541,
Elisabeth Elsner ,542,,,542,
Bartholomaeus Elsner ,543,,,543,
Bartholomaeus Elßner ,543,,,543,
Johannes Bartholomaeus Elsnerus,543,,,543,
Regina Frischmann,544,,,544,
Ursula Wagner,544,,,544,
Johannes Wagner,545,,,545,
Anna Maria Schorch,546,,,546,
Heinrich Friedemann,547,,,547,
Heinrich Wilhelm Friedemann,547,,,547,Friedemannus
Maria Magdalena Schorch,548,,,548,
Franz Schiller,549,,,549,
Franz Heinrich Schiller,549,,,549,Schieller / Schillers
Heinrich Bartholomaeus Schorch,551,,,551,
Heinrich Bartholomäus Schorch,551,,,551,
Martha Elisabeth Schorch ,552,,,552,
Martha Elisabeth Andreae,552,,,552,Martha Elisabeth Schorch 
M. Johann Wilhelm Andreae,553,,,553,
Johann Wilhelm Andreae,553,,,553,
Johannes Schorch ,554,,,554,
Anna Funcke,555,,,555,
Martha Nacke,556,,,556,
Hartmann Nacke ,557,,,557,
Anna Benigna Gerstenberg ,558,,,558,
Marie Christine von Brettin,559,,,559,
Cordula Maximiliana von der Weser ,560,,,560,
Wolf Balthasar von der Weser,561,,,561,
Hedwig Müller,562,,,562,
Jacob Heinrich Ziegler,563,,,563,
Elisabeth Stichling,564,,,564,
Martha Vasold ,565,,,565,
Ursula Förster ,566,,,566,
Catharina Herr ,567,,,567,
Sabina Magdalena Melzer,568,,,568,
Anna Christina Schütz von Holzhausen,569,,,569,
Philipp Ludwig von Reiffenberg,570,,,570,
Philipp von Reiffenberg,570,,,570,
Philipp Ludwig Freiherr von Reiffenberg,570,,,570,
Philipp Ludwig Ritter von Reiffenberg,570,,,570,
Friedrich von Greiffenclau zu Vollraths,571,,,571,
Friedrich Greiffenclau zu Vollrats,571,,,571,
Friedrich von Greiffenclau,571,,,571,
Gottlieb Philipp Joseph Faust von Stromberg,572,,,572,
Gottfried Philipp Faust von Stromberg,572,,,572,
Friedrich Wilhelm Freiherr von Bicken,573,,,573,
Friedrich Wilhelm von Bicken,573,,,573,
Adam Philipp Teitzel,903,9054.0,,9001,
Adam Philipp Teitzel,9054,9054.0,,9001,
Adolf Friedrich Rudolf Joseph (Freiherr) von TROTT zu SOLZ,P-010,,,9002,
Adolf Karl Alexander Lothar (Freiherr) von ZEHMEN,P-083,,,9003,
Adolph Wilhelm Franz Freiherr von Greiffenclau zu Vollrads,84,9043.0,,9004,Adolph Freiherr von Greiffenclau zu Vollrads
Adolph Wilhelm Franz Freiherr von Greiffenclau zu Vollrads,9043,9043.0,,9004,Adolph Freiherr von Greiffenclau zu Vollrads
Adolph Wilhelm Franz Freiherr von Greiffenclau zu Vollrads,84,,,9004,Adolph Freiherr von Greiffenclau zu Vollrads
Aegidius (Egid) Valentin Felix (Freiherr von) BORIÉ (Beaurieux) (zu SCHÖNBACH),P-022,,,9005,
Aegidius Joseph Valentin Felix genannt Egid Joseph Karl von FAHNENBERG,P-060,,,9006,
Aeneas Anton von Fleischmann,41,9018.0,,9007,Aeneas Anton Fleischmann
Aeneas Anton von Fleischmann,9018,9018.0,,9007,Aeneas Anton Fleischmann
Aeneas Anton von Fleischmann,41,,,9007,Aeneas Anton Fleischmann
Aloys Joseph Dominik Johann Franz (Freiherr) MAURER von KRONEGG zu Ungarshofen,P-052,,,9008,
Andreas (Freiherr von) STEIGENTESCH,P-105,,,9009,
Anselm Franz Serger,40,9017.0,,9010,
Anselm Franz Serger,9017,9017.0,,9010,
Anselm Freiherr Groß von und zu Trockau,78,9037.0,,9011,
Anselm Freiherr Groß von und zu Trockau,9037,9037.0,,9011,
Anselm Freiherr Groß von und zu Trockau,78,,,9011,Anselm Baron von Groß zu Trockau
Anselm Gerhard Schott,904,9055.0,,9012,
Anselm Gerhard Schott,9055,9055.0,,9012,
Arnold Gottfried Events,230?,,,9013,
Augustin Franz von Kunibert,69,9032.0,,9014,Augustin Franz Kunibert
Augustin Franz von Kunibert,9032,9032.0,,9014,Augustin Franz Kunibert
Augustin Franz von Kunibert,69,,,9014,Augustin Franz Kunibert
Benjamin Schüz,?,,,9015,
Bernhard Gottfried von Reider,50,9022.0,,9016,Bernhard Gottfried Reider
Bernhard Gottfried von Reider,9022,9022.0,,9016,Bernhard Gottfried Reider
Bernhard Gottfried Reider,50,,,9016,
Bernhard Gottfried Reider,API,,,9016,
Bernhard Gottfried Reider,OCR,,,9016,
Bernhard Gottfried von Reider,50,,,9016,Gottfried von Reider
Bernhard Gottfried von Reider,50,,,9016,Bernhard Gottfried Reuter
Christian von Ottenthal,74,9035.0,,9017,Christian Ottenthal
Christian von Ottenthal,9035,9035.0,,9017,Christian Ottenthal
"Christian Franz [von, S.J.] WEIDENFELD",P-017,,,9017,
Christian von Ottenthal,74,,,9017,Christian Ottenthal
Christoph Hartmann Freiherr von Fechenbach zu Laudenbach,12,9003.0,,9018,
Christoph Hartmann Freiherr von Fechenbach zu Laudenbach,9003,9003.0,,9018,
Christoph Hartmann Freiherr von Fechenbach zu Lautenbach,12,9003.0,,9018,
Christoph Hartmann Freiherr von Fechenbach zu Lautenbach,9003,9003.0,,9018,
Christoph Hartmann Freiherr von Fechenbach zu Lautenbach,12,,,9018,Christophel Hartmann Freiherr von Fechenbach
Damian Friedrich von Strauß,221,9049.0,,9019,
Damian Friedrich von Strauß,9049,9049.0,,9019,
Damian Friedrich von Strauß,221,,,9019,Damian Friedrich Strauß
Emmerich Joseph Freiherr von Breidbach zu Bürresheim,77,9036.0,,9020,
Emmerich Joseph Freiherr von Breidbach zu Bürresheim,9036,9036.0,,9020,
"Ferdinand Heinrich (Freiherr von) DÜNWALDT (Dünnwaldt, Dünwald, Dün(n)ewald)",P-082,,,9021,
Franz Arnold (Freiherr) von der BECKE,P-107,,,9022,
Franz Arnold Evers,230?,,,9023,
Franz Bernhard Joseph Freiherr von STEIN zu LAUSNITZ,P-062,,,9024,
Franz Bertram Freiherr von Scheben,37,9015.0,,9025,"Franz Bertram von Scheben, Edler von Kronfeld"
Franz Bertram Freiherr von Scheben,9015,9015.0,,9025,"Franz Bertram von Scheben, Edler von Kronfeld"
Franz Bertram Freiherr von Scheben,37,,,9025,"Franz Bertram von Scheben, Edler von Kronfeld"
Franz Christoph Heinrich Aloys (Graf) von Reigersberg,P-086,,,9026,
Franz Georg (Freiherr von) LEYKAM,P-019,,,9027,
Franz Graf von Spaur,67,9030.0,,9028,
Franz Graf von Spaur,9030,9030.0,,9028,
Franz Joseph (Freiherr von) Albini,P-075,,,9029,
Franz Joseph Ignaz (Freiherr von) LINDEN,P-020,,,9030,
Franz Philipp Ernst Freiherr von Hettersdorf,72,9033.0,,9031,
Franz Philipp Ernst Freiherr von Hettersdorf,9033,9033.0,,9031,
Franz Valerius (Edler von) HAUER,P-057,,,9032,
Franz Wilhelm LOSKAND,P-004,,,9033,Loskandt / Loskant
Friedrich Joseph Anton (Freiherr) von SCHMITZ (zu GROLLENBURG),P-103,,,9034,
Friedrich Karl Freiherr von Groschlag zu Dieburg,85,9044.0,,9035,
Friedrich Karl Freiherr von Groschlag zu Dieburg,9044,9044.0,,9035,
Friedrich Karl Freiherr von Groschlag zu Dieburg,85,,,9035,Friedrich Karl Freiherr von Groschlag 
Georg Friedrich von Lasser,30,9011.0,,9036,
Georg Friedrich von Lasser,9011,9011.0,,9036,
Gerhard Evers,230?,,,9037,
Gerhard Georg Wilhelm Franz Xaver (Freiherr von) VOGELIUS,P-015,,,9038,
Gottfried Emanuel Friedrich Freiherr von ANDRIAN-WERBURG,P-061,,,9039,Gottfried Emanuel Ferdinand Andont Freiherr von ANDRIAN-WERBURG
Gottfried von Lammertz,15,9006.0,,9040,
Gottfried von Lammertz,9006,9006.0,,9040,
Hartmann Andreas von Faber,89,9048.0,,9041,Hartmann Andreas Faber
Hartmann Andreas von Faber,9048,9048.0,,9041,Hartmann Andreas Faber
Hartmann Andreas von Faber,89,,,9041,Hartmann Andreas Faber
"Heinrich Ludwig Karl (von) GEBLER, (des Heiligen Römischen Reichs Ritter)",P-055,,,9042,
Heinrich Schweickart Oswald Hellmandel,34,9013.0,,9043,Heinrich Schweickart Hellmandel
Heinrich Schweickart Oswald Hellmandel,9013,9013.0,,9043,Heinrich Schweickart Hellmandel
Heinrich Schweickart Oswald Hellmandel,34,,,9043,Heinrich Schweickart Hellmandel
"Hermann Franz (Edler von, des Heiligen Römischen Reichs Ritter) SONBORN",P-021,,,9044,
Hugo Johann Philipp Graf von Stadion,44,9020.0,,9045,Johann Philipp Graf von Stadion
Hugo Johann Philipp Graf von Stadion,9020,9020.0,,9045,Johann Philipp Graf von Stadion
Hugo Johann Philipp Graf von Stadion,44,,,9045,Johann Philipp Graf von Stadion
Ignaz Friedrich Maria Joseph Anton Apollinaris Canutus (Freiherr von) GRUBEN,P-005,,,9046,
Joachim Albert Johann Zacharias (Freiherr von) HESS,P-073,,,9047,Heß
Joachim Leonhard SCHÜLL,P-071,,,9048,Schül / Schul
Johann Adam (Freiherr von) SCHROFF,P-078,,,9049,
Johann Albert Freiherr von Gudenus,57,9026.0,,9050,
Johann Albert Freiherr von Gudenus,9026,9026.0,,9050,
Johann Albert Freiherr von Gudenus,57,,,9050,Johann Albert von Gudenus
Johann Alexander Bernhard Strecker,75,,,9051,Alexander Bernhard Strecker
Johann Alexander Bernhard Strecker,825,,,9051,Alexander Bernhard Strecker
Johann Arnold Heinrich Joseph CRAMER von CLAUSBRUCH,P-016,,,9052,
Johann Christian Joseph Freiherr von WALDENFELS,P-084,,,9053,Wallenfels
Johann Christoph Joseph (von) SCHMITZ,P-077,,,9054,
Johann Christoph Joseph Schlehlein,21,9007.0,,9055,
Johann Christoph Joseph Schlehlein,9007,9007.0,,9055,
Johann Christoph Joseph Schlehlein,21,,,9055,Christoph Joseph Schlehlein
Johann Christoph Joseph Schlehlein,21,,,9055,Johann Christoph Schlehlein
Johann Christoph Veit (Edler von) TÖNNEANN,P-050,,,9056,
Johann Daniel Clemens (von) HUEBER (von der WILTAU) (Wildau),P-024,,,9057,
Johann Stephan (Edler von) SPECKMANN,P-018,,,9058,
Johann Daniel Heyland,X,,,9058,
Johann Werner Freiherr von Vorster,9,9000.0,,9059,
Johann Werner Freiherr von Vorster,9000,9000.0,,9059,
Johann Daniel Marianus FRANK,P-096,,,9059,Franck
Johann Werner Freiherr von Vorster,9,,,9059,Johann Werner von Vorster
Johann Eberhard Franz von Löhr,35,9014.0,,9060,Johann Erhard Franz von Löhr
Johann Eberhard Franz von Löhr,9014,9014.0,,9060,Johann Erhard Franz von Löhr
Veit Christoph Molitor,39,9016.0,,9060,
Veit Christoph Molitor,9016,9016.0,,9060,
Veit Christoph Molitor,3001,9016.0,,9060,
Joseph Anton Leonard Hartmann,80,9039.0,,9060,
Joseph Anton Leonard Hartmann,9039,9039.0,,9060,
Johann Eberhard Franz von Löhr,35,,,9060,Johann Erhard Franz von Löhr
Joseph Anton Leonard Hartmann,80,,,9060,Johann Anton Leonard Hartmann
Johann Ferdinand Andreas von Lammertz,28,9010.0,,9061,
Johann Ferdinand Andreas von Lammertz,9010,9010.0,,9061,
Johann Ferdinand Andreas von Lammertz,26,9010.0,,9061,
Joseph Graf von Fugger zu Kirchheim,83,9042.0,,9061,
Joseph Graf von Fugger zu Kirchheim,9042,9042.0,,9061,
Joseph Graf von Fugger zu Kirchheim,83,,,9061,Joseph Graf von Fugger
Johann Ferdinand Andreas von Lammertz,28,,,9061,Ferdinand Andreas von Lammertz
Johann Franz Aegidius (Egid) (von) BEAURIEUX (zu SCHÖNBACH),P-001,,,9062,
Joseph Philipp (Philipp Karl Joseph) Graf zu SPAUR und FLAVON,P-085,,,9062,
Johann Franz Rudolf Nikolaus DEGEN,P-009,,,9063,
Joseph ULLHEIMER,P-076,,,9063,
Karl Adolph Freiherr von Ritter zu Grünstein,81,9040.0,,9064,
Karl Adolph Freiherr von Ritter zu Grünstein,9040,9040.0,,9064,
Johann Franz Valentin (von) EMMERICH,P-094,,,9064,
Karl Adolph Freiherr von Ritter zu Grünstein,81,,,9064,Karl Adolph Baron von Ritter
Johann Friedrich Edler von Stubenrauch,26,9009.0,,9065,Johann Friedrich Stubenrauch
Johann Friedrich Edler von Stubenrauch,9009,9009.0,,9065,Johann Friedrich Stubenrauch
Karl Anton Freiherr von Vorster,88,9047.0,,9065,Karl Anton von Vorster
Karl Anton Freiherr von Vorster,9047,9047.0,,9065,Karl Anton von Vorster
