person_name,person_id,person_id_temporary,person_id_jgu,person_id_DigiKAR_final,person_name_variants
Anselmus Franciscus Molitoris,51,,,51,
Georg Melchior Gereon Molitoris,52,,,52,
[Georg Melchior Gereon] Molitoris,52,,,52,
Philipp Georg Jerion Molitoris,52,,,52,
Melchior Gereon Molitoris,52,,,52,
Friedrich Wilhelm Mosel von Alenstein,54,,,54,
[Friedrich Wilhelm] Mosel von Alenstein,54,,,54,
Johann Bernhard Müller,55,,,55,
[Johann Bernhard] Müller,55,,,55,
Johann Bernhard Molitoris,55,,,55,Molitor
Herrmann Pfingsten,56,,,56,
Johann Hermann Pfingsten,56,,,56,
Daniel Veit von Pipper,57,,,57,
Vitus Daniel von Piper,57,,,57,
Adam Friedrich Christian Reinhard,58,,,58,
Adam Christian Reinhardt,58,,,58,
Adam Christian Friedrich Reinhard,58,,,58,August Chrstian Friedrich Reinhard
Adam F. Reinhardt,58,,,58,
Georg Andreas Reinhard,59,,,59,
Andreas Reinhard,59,,,59,
N.N. Reinhard,59,,,59,
Franz Anton Resch,60,,,60,
Franz A[nton] R[esch],60,,,60,
Franz Anton? von Resch,60,,,60,
Franz Anton von Resch,60,,,60,
Ernst Dominik Rhiesen,61,,,61,
Jacob Ernestus Dominicus Riese,61,,,61,
Johann Ernst Dominicus Riese,61,,,61,Riehse
Johann Ernst Dominicus Riehs,61,,,61,
[Johann Ernst Dominik] Rhieß,61,,,61,
Johann Rese,61,,,61,
Johann Riese,61,,,61,Riehs / Riehse / Riess / Riesse
Johannes Ernst Dominik Riese,61,,,61,Riehs / Riehse / Riess / Riesse
Johann Ernst Dominicus Rieße,61,,,61,
Valentin Riehßen,62,,,62,
Valentin Riehsen,62,,,62,
[Valentin] Rhieß,62,,,62,Rhies
Valentin Rhieß,62,,,62,Riheßen
Valentin Rieß,62,,,62,
[Valentin] Riehse,62,,,62,Rhiese
[Valentin] Rhies,62,,,62,Rhieß
[Valentin] Rhiß,62,,,62,Rhis
Johann Heinrich Daniel von Ritter zu Grünstein,63,,,63,Johann Daniel von Ridder zu Groenstein
Johann Heinrich Daniel Freiherr von Ritter zu Grünstein,63,,,63,
Johann Heinrich Daniel Freiherr von Ritter zu Groenesteyn,63,,,63,
Johann Michael Rotermundt,64,,,64,
Johann Michael Rotermundt,801,,,64,
Johann Michael Rotermund,64,,,64,
Johann Michael Rotermund,801,,,64,
[Johann Michael] Rotermund,64,,,64,
Johann Michael Rothermund,64,,,64,
Georg Mansuet Ignaz Ruding,65,,,65,
N.N. von Ruding,65,,,65,
Georg Ignaz Mansuet Rüding,65,,,65,
Joseph von Sänger,66,,,66,
Johann Josef Senger,66,,,66,
Karl Joseph Adolph Lukas Freiherr Schenk Schmidburg,67,,,67,
Karl Franz Adolf Schenk Schmiedburg,67,,,67,
Karl Joseph Adolph lukas Freiherr Schenk von Schmidtburg,67,,,67,
Carl Joseph Freiherr Schenck von Schmidtburg,67,,,67,
Karl Joseph Adolf Schenk von Schmidburg,67,,,67,
Johann Adam Schmitt,68,,,68,
Johannes Adam Schmidt,68,,,68,Schmid / Schmied / Schmidius / Schmitt / Smid
Hieronymo Schorchen,69,,,69,
Hieronymus Schorch,69,,,69,
[Hieronymus] Schorch,69,,,69,
Johann Arnold Schütz,70,,,70,
[Johann Arnold] Schütz,70,,,70,
[Johann Arnold] Schüz,70,,,70,
Johann Arnold Schütze,70,,,70,
Johann Christoph Spitz,71,,,71,
Johannes Christophorus Spitz,71,,,71,
Johann Christian Spitz,71,,,71,
N.N. Spitz,71,,,71,
[Johann Michael] Spönla,72,,,72,
Johann Michael Spohnla [?],72,,,72,
Johannes Michael Spoenla,72,,,72,
Johann Michael Spoenla,72,,,72,
Gottfried Spoenla,73,,,73,
Gottfried Spönla,73,,,73,
Johann Gottfried Spönla,232,,,73,
Johann Gottfried Spönla,73,,,73,
[Gottfried?] Spönla,73,,,73,
Johann Gottfried von Spoenla,73?,,,73,
[Johann Daniel Richard] Spönla,74,,,74,
Johann Daniel Richard Spönla,74,,,74,Spoenla
Alexander Bernhard Strecker,75,,,75,Bernhard Alexander Strecker
Alexander Bernhard] Strecker,75,,,75,
Alexander Bernhard Strecker,825,,,75,Bernhard Alexander Strecker
Ernst Wilhelm Strecker,76,,,76,
Ernst Wilhelm Strecker,803,,,76,
Josepha Strecker,77,,,77,
Maria Anna Josepha Thecla Strecker,77,,,77,
Karl Friedrich Strecker,78,,,78,
Karl Strecker,79,,,79,
Karl Wilhelm Strecker,80,,,80,
Konrad Wilhelm Strecker,81,,,81,
Konrad Wilhelm Strecker,803,,,81,
[Conrad Wilhelm] Streckerth,81,,,81,
Wilhelm Moritz Strecker,82,,,82,
Johann Philipp Streit,83,,,83,
[Johann Philipp] Streit,83,,,83,
Johann Philipp Streidt,83,,,83,
Johannes Philipp Streit,83,,,83,
Christoph Ignaz Streit,84,,,84,
[Christoph Ignaz] Streit,84,,,84,Streit Junior
Johann Daniel Streit,85,,,85,
Johann Veit Stumpelius,86,,,86,
Ernst Tentzel,87,,,87,
Ernst Tentzel,472,,,87,
Ernst I Tentzel,470,,,87,
Ernst Tentzl,87,,,87,
Ernest Tenzel,87,,,87,
Ernest Tentzel,87,,,87,
Franz Trömer,88,,,88,
Georg Friedrich Trott,89,,,89,
Georg Samuel Friedrich Trott,89,,,89,
Anselm Franz Ernst Freiherr von Warsberg,90,,,90,
