,place_name,id
1597,Kriftel,2883920
1598,Kriftel,2883920
1599,Kriftel,2883920
1600,Kriftel,2883920
1601,Kriftel,2883920
1602,Kreuzebra,2884141
1603,Kreuzebra,2884141
1604,Krautheim,2884625
1605,Krautheim,2884625
1606,Krautheim,2884625
1607,Kransberg,2884748
1608,Mainz-Kostheim,2885273
1609,Mainz-Kostheim,2885273
1610,Kostheim,2885273
1611,Kostheim,2885273
1612,Mainz-Kostheim,2885273
1613,Kornelimünster ,2885438
1614,Kornelimünster ,2885438
1615,Konstanz,2885679
1616,Konstanz,2885679
1617,Konstanz,2885679
1618,Konstanz,2885679
1619,Konstanz,2885679
1620,Königstein im Taunus,2885760
1621,Königstein im Taunus,2885760
1622,Königstein im Taunus,2885760
1623,Königstein im Taunus,2885760
1624,Königstein im Taunus,2885760
1625,Königshofen/ Unterfranken,2885829
1626,Bad Königshofen im Grabfeld,2885829
1627,Königsheim,2885850
1628,Königsheim,2885850
1629,Königsheim,2885850
1630,Königheim,2885991
1631,Königheim,2885991
1632,Königheim,2885991
1633,Königheim,2885991
1634,Königheim,2885991
1635,Konigheim,2885991
1636,Königheim,2885991
1637,Köln,2886242
1638,Köln,2886242
1639,Köln,2886242
1640,Köln,2886242
1641,Köln,2886242
1642,Köln,2886242
1643,Köln,2886242
1644,Köln,2886242
1645,Köln,2886242
1646,Koblenz,2886946
1647,Koblenz,2886946
1648,Koblenz,2886946
1649,Koblenz,2886946
1650,Koblenz,2886946
1651,Klotzenhof,2887374
1652,Klotten,2887385
1653,Kloppenheim,2887585
1654,Klingenmünster,2887718
1655,Klingenberg am Main,2887736
1656,Klingenberg am Main,2887736
1657,Klingenberg am Main,2887736
1658,Klingenberg am Main,2887736
1659,Klingenberg am Main,2887736
1660,Klingenberg am Main,2887736
1661,Klein-Winternheim,2887987
1662,Klein-Winternheim,2887987
1663,Klein-Winternheim,2887987
1664,Kleinwallstadt,2888053
1665,Kleinwallstadt,2888053
1666,Kleinwallstadt,2888053
1667,Kleinwallstadt,2888053
1668,Kleinwallstadt,2888053
1669,Kleinwallstadt,2888053
1670,Kleinwallstadt,2888053
1671,Klein-Umstadt,2888099
1672,Kleinsassen,2888281
1673,Kleinsassen,2888281
1674,Klein-Rohrheim,2888314
1675,Klein-Rohrheim,2888314
1676,Kleinrinderfeld,2888323
1677,Kleinostheim,2888411
1678,Kleinmaischeid,2888520
1679,Kleinenberg,2889463
1680,Kitzingen,2890158
1681,Kitzingen,2890158
1682,Kitzingen,2890158
1683,Kißlegg  ,2890199
1684,Kißlegg  ,2890199
1685,Kirtorf,2890222
1686,Kirschhausen,2890239
1687,Kirrweiler,2890278
1688,Kirrweiler (Pfalz),2890278
1689,Kirrweiler (Pfalz),2890278
1690,Kirn,2890314
1691,Kirn,2890314
1692,Kirdorf,2890326
1693,Kirchzell,2890327
1694,Kirchzell,2890327
1695,Kirchworbis,2890329
1696,Kirchworbis,2890329
1697,Kirchworbis,2890329
1698,Kirchworbis,2890329
1699,Kirchworbis,2890329
1700,Kirchworbis,2890329
1701,Kirchveischede,2890350
1702,Kirchhundem,2890442
1703,Kirchhundem,2890442
1704,Kirchhundem,2890442
1705,Kirchhundem,2890442
1706,Kirchheim (Heidelberg),2890483
1707,Kirchheim (Heidelberg),2890483
1708,Kirchgandern,2890513
1709,Kirchgandern,2890513
1710,Kirchen (Sieg),2890586
1711,Kirchberg (Hunsrück),2890660
1712,Kirchberg (Hunsrück),2890660
1713,Kirchberg (Hunsrück),2890660
1714,Kindenheim,2890874
1715,Holstein,2891122
1716,Schleswig,2891122
1717,Kiedrich,2891205
1718,Kiedrich,2891205
1719,Kiedrich,2891205
