Herrschaften Tettnang und Argen,None
Herrschaften Winneburg und Beistein,None
Herzogtum Bayern nebst Oberpfalz,None
Herzogtum Brabant,Q159856
Herzogtum Bremen,Q694594
Herzogtum Friaul österreichischen Anteils,None
Herzogtum Holstein-Glückstadt,None
Herzogtum Holstein-Gottrop,None
Herzogtum Kärnten,Q702224
Herzogtum Kleve nebst den Grafschaften Mark und Ravensberg,None
Herzogtum Krain,Q193474
Herzogtum Limburg,Q697787
Herzogtum Luxemburg,Q312456
Herzogtum Magdeburg,Q702012
Herzogtum Mecklenburg-Schwerin,Q158445
Herzogtum Mecklenburg-Strelitz,Q161215
Herzogtum Pommern preußischen Anteils,None
Herzogtum Pommern schwedischen Anteils,None
Herzogtum Sachsen-Lauenburg,Q313175
Herzogtum Schlesien preußischen und böhmischen Anteils,None
Herzogtum Steiermark,Q1517158
Herzogtum Württemberg und Teck,None
Herzogtümer Jülich und Berg,None
Hochstift Augsburg,Q173863
Hochstift Bamberg,Q561334
Hochstift Basel,Q319586
Hochstift Brixen,Q1249360
Hochstift Chur,Q681120
Hochstift Eichstätt,Q318987
Hochstift Freising,Q259511
Hochstift Fulda,Q20820384
Hochstift Hildesheim,Q1622364
Hochstift Konstanz,Q896856
Hochstift Lübeck,Q527527
Hochstift Lüttich,Q158835
Hochstift Münster,Q697254
Hochstift Osnabrück,Q477035
Hochstift Paderborn,Q649192
Hochstift Passau,Q884763
Hochstift Regensburg,Q329522
Hochstift Speyer,Q574644
Hochstift Straßburg,Q771332
Hochstift Trient,Q651468
Hochstift Worms,Q314994
Hochstift Würzburg,Q13427044
Kanton Altmühl (Sitz in Wilhermsdorf),None
Kanton Baunach (Sitz in Baunach / seit 1778 in Nürnberg),None
Kanton Donau (Sitz in Ehingen),None
Kanton Gebirg (Sitz in Bamberg),None
Kanton Hegau-Allgäu-Bodensee (Sitze in Radolfzell und in Wangen im Allgäu),None
Kanton Kocher (Sitz in Esslingen),None
Kanton Kraichgau (Sitz in Heilbronn),None
Kanton Mittelrheinstrom (Sitz in Friedberg),None
Kanton Neckar-Schwarzwald-Ortenau (Sitz in Tübingen),None
Kanton Oberrheinstrom (Sitz in Koblenz),None
Kanton Oberrheinstrom (Sitz in Mainz),None
Kanton Odenwald (Sitz in Heilbronn / seit 1764 in Kochendorf),None
Kanton Rhön-Werra (Sitz in Schweinfurt,None
Kanton Steigerwald (Sitz in Erlangen),None
Kirchspiel Winden,None
Kommende Mainau in der Ballei Elsass-Burgund des Deutschen Ordens,Q2178351
Königreich Böhmen,Q42585
Kurköln,Q7904317
Kurmainz,Q284667
Kurpfalz,Q22880
Kursächsische Lande,None
Kurtrier,Q1794352
Land Hadeln,Q523001
Lande der Erbtruchsessen zu Waldburg-Scheer-Scheer und Waldburg-Zeil-Trauchburg,None
Lande der Erbtruchsessen zu Waldburg-Wolfegg-Wolfegg und Waldburg-Wolfegg-Waldsee,None
Lande der Erbtruchsessen zu Waldburg-Zeil-Zeil und Waldburg-Zeil-Wurzach,None
Lande der Fürsten von Hatzfeld,None
Lande der Fürsten zu Nassau-Diez,None
Lande der Grafen Fugger,None
Lande der Grafen Leiningen-Hartenburg,None
Lande der Wildgrafen und Rheingrafen (fürstliche Linie Salm-Kyrburg),None
Lande der Wildgrafen und Rheingrafen (rheingräfliche Linie Salm-Grumbach),None
Lande der Wildgrafen und Rheingrafen (rheingräfliche Linie zu Salm-Stein),None
Lande des Fürsten zu Nassau-Saarbrücken-Saarbrücken,None
Lande des Fürsten zu Nassau-Saarbrücken-Usingen,None
Lande des Fürsten zu Nassau-Weilburg,None
Lande des fürstlichen Hauses Oettingen-Wallerstein,None
Lande des fürstlichen Hauses Solms-Braunfels,None
Lande des gräflichen Hauses Solms-Laubach,None
Lande des gräflichen Hauses Solms-Lich-Hohensolms,None
Lande des gräflichen Hauses Solms-Rödelheim,None
