item	itemLabel	GeoNamesID	country	terrain	date	named
http://www.wikidata.org/entity/Q1011897	Fürstenstein castle					
http://www.wikidata.org/entity/Q1014968	Q1014968					
http://www.wikidata.org/entity/Q1028585	Q1028585					
http://www.wikidata.org/entity/Q1048169	Treaty of Berlin of 1878					
http://www.wikidata.org/entity/Q1066218	Ottonian art					
http://www.wikidata.org/entity/Q1116824	Pflegamt Lichtenau					
http://www.wikidata.org/entity/Q1136258	Heraldry of the Holy Roman Empire					
http://www.wikidata.org/entity/Q1137541	Principality of Anhalt-Mühlingen					
http://www.wikidata.org/entity/Q1180082	de Lacy family					
http://www.wikidata.org/entity/Q1183435	Deitweg					
http://www.wikidata.org/entity/Q1220066	Diebitsch					
http://www.wikidata.org/entity/Q1233318	Dobnagau					
http://www.wikidata.org/entity/Q1236847	Lordship of Kniphausen					
http://www.wikidata.org/entity/Q1272072	Dürn					
http://www.wikidata.org/entity/Q1282699	Q1282699					
http://www.wikidata.org/entity/Q1286608	Lobdengau					
http://www.wikidata.org/entity/Q1304284	Q1304284					
http://www.wikidata.org/entity/Q1305985	Einbacher Mühle					
http://www.wikidata.org/entity/Q1314461	Reischach family					
http://www.wikidata.org/entity/Q1341156	Imperial immediacy					
http://www.wikidata.org/entity/Q1344365	Ensisheim					
http://www.wikidata.org/entity/Q1347081	House of Walsee					
http://www.wikidata.org/entity/Q1399604	Ottonian Renaissance					
http://www.wikidata.org/entity/Q1409271	Fettmilch Rising					
http://www.wikidata.org/entity/Q1415566	Battle of Würzburg					
http://www.wikidata.org/entity/Q1436555	Pflegamt Velden					
http://www.wikidata.org/entity/Q1440442	Oberamt Mosbach					
http://www.wikidata.org/entity/Q1454024	Free City of Mainz					
http://www.wikidata.org/entity/Q1454401	Gemmingen					
http://www.wikidata.org/entity/Q1454439	Q1454439					
http://www.wikidata.org/entity/Q1483822	Hainstadt					
http://www.wikidata.org/entity/Q1485449	Seelhaus					
http://www.wikidata.org/entity/Q1495890	Q1495890					
http://www.wikidata.org/entity/Q1507115	Imperial Estate					
http://www.wikidata.org/entity/Q1513006	Q1513006					
http://www.wikidata.org/entity/Q1513004	Q1513004					
http://www.wikidata.org/entity/Q1513005	Q1513005					
http://www.wikidata.org/entity/Q1513009	Q1513009					
http://www.wikidata.org/entity/Q1518394	Literarische Gesellschaft zu Jena					
http://www.wikidata.org/entity/Q1532574	Q1532574					
http://www.wikidata.org/entity/Q1541669	County of Egisheim					
http://www.wikidata.org/entity/Q1541688	countship Gronsveld					
http://www.wikidata.org/entity/Q1541713	County of Königstein					
http://www.wikidata.org/entity/Q1541723	County of Lippe					
http://www.wikidata.org/entity/Q1541835	Werdenberg (Holy Roman Empire)					
http://www.wikidata.org/entity/Q1550275	Grubingen					
http://www.wikidata.org/entity/Q1614394	Q1614394					
http://www.wikidata.org/entity/Q1617090	Q1617090					
http://www.wikidata.org/entity/Q1621034	historical territory					
http://www.wikidata.org/entity/Q1628429	Horneck von Hornberg					
http://www.wikidata.org/entity/Q1721681	Imperial Army					
http://www.wikidata.org/entity/Q1777136	Knigge					
http://www.wikidata.org/entity/Q1787828	Circle troops					
http://www.wikidata.org/entity/Q1792924	Electoral College					
http://www.wikidata.org/entity/Q1802943	Klettgau					
http://www.wikidata.org/entity/Q1828394	Graafschap Gelre					
http://www.wikidata.org/entity/Q1842486	free imperial city of Wimpfen					
http://www.wikidata.org/entity/Q1867844	March of Tuscany					
http://www.wikidata.org/entity/Q1868259	free imperial city of Turckheim					
http://www.wikidata.org/entity/Q1876237	free imperial city of Strasbourg					
http://www.wikidata.org/entity/Q1918186	free imperial city of Kaufbeuren					
http://www.wikidata.org/entity/Q1949521	free imperial city of Rottweil					
http://www.wikidata.org/entity/Q1965271	free imperial city of Lindau					
http://www.wikidata.org/entity/Q1979064	free imperial city of Gengenbach					
http://www.wikidata.org/entity/Q1981078	Q1981078					
http://www.wikidata.org/entity/Q2045387	Pachelbel von Gehag					
http://www.wikidata.org/entity/Q2055974	free imperial city of Dortmund					
http://www.wikidata.org/entity/Q2056055	free imperial city of Friedberg					
http://www.wikidata.org/entity/Q2063178	prince-abbot					
http://www.wikidata.org/entity/Q2064609	Dessain					
http://www.wikidata.org/entity/Q2075148	Free Imperial City of Heilbronn					
http://www.wikidata.org/entity/Q2084016	Pflegamt Altdorf					
http://www.wikidata.org/entity/Q2084028	Pflegamt Hersbruck					
http://www.wikidata.org/entity/Q2084038	Pflegamt Hohenstein					
http://www.wikidata.org/entity/Q2084044	Pflegamt Lauf					
http://www.wikidata.org/entity/Q2084050	Pflegamt Reicheneck					
http://www.wikidata.org/entity/Q2088066	Q2088066					
http://www.wikidata.org/entity/Q2091711	Q2091711					
http://www.wikidata.org/entity/Q2100960	Q2100960					
http://www.wikidata.org/entity/Q2112681	Free Imperial City of Schlettstadt					
http://www.wikidata.org/entity/Q2116823	Q2116823					
http://www.wikidata.org/entity/Q2122472	Imperial quaternions					
http://www.wikidata.org/entity/Q2134914	Q2134914					
http://www.wikidata.org/entity/Q2138849	Free City of Landau					
http://www.wikidata.org/entity/Q2139654	Imperial Knight					
http://www.wikidata.org/entity/Q2141909	Q2141909					
http://www.wikidata.org/entity/Q2142886	Archduchy of Austria above the Enns					
http://www.wikidata.org/entity/Q2155097	Krummensee					
http://www.wikidata.org/entity/Q2160711	Q2160711					
http://www.wikidata.org/entity/Q2165016	Unruochings					
http://www.wikidata.org/entity/Q2169084	Zell am Harmersbach					
http://www.wikidata.org/entity/Q2181059	Q2181059					
http://www.wikidata.org/entity/Q2192719	Q2192719					
http://www.wikidata.org/entity/Q2202111	Q2202111					
http://www.wikidata.org/entity/Q2204112	Rütschdorf					
http://www.wikidata.org/entity/Q2205983	Q2205983					
http://www.wikidata.org/entity/Q2210412	Q2210412					
http://www.wikidata.org/entity/Q2217794	Q2217794					
http://www.wikidata.org/entity/Q2219448	Duchy of Saxony					
http://www.wikidata.org/entity/Q2227570	Duchy of Württemberg					
http://www.wikidata.org/entity/Q2233333	Q2233333					
http://www.wikidata.org/entity/Q2239864	Görtz					
http://www.wikidata.org/entity/Q2240291	Q2240291					
http://www.wikidata.org/entity/Q2247126	Q2247126					
http://www.wikidata.org/entity/Q2248663	Q2248663					
http://www.wikidata.org/entity/Q2257151	Q2257151					
http://www.wikidata.org/entity/Q2259307	Q2259307					
http://www.wikidata.org/entity/Q2263051	Klubist					
http://www.wikidata.org/entity/Q2275775	Seydlitz					
http://www.wikidata.org/entity/Q2281560	House of Sickingen					
http://www.wikidata.org/entity/Q2303350	Bailiwick of Schieland					
http://www.wikidata.org/entity/Q2314753	Q2314753					
http://www.wikidata.org/entity/Q2325335	Coup of Kaiserswerth					
http://www.wikidata.org/entity/Q2327097	Imperial City of Windsheim					
http://www.wikidata.org/entity/Q2351359	Free Imperial City of Besançon					
http://www.wikidata.org/entity/Q2358281	Land of Aalst					
http://www.wikidata.org/entity/Q2360887	Q2360887					
http://www.wikidata.org/entity/Q2360973	Duchy of Carniola					
http://www.wikidata.org/entity/Q2379585	Q2379585					
http://www.wikidata.org/entity/Q2423057	Q2423057					
http://www.wikidata.org/entity/Q2455075	Principality of Auersperg					
http://www.wikidata.org/entity/Q2465074	Ban de la Roche					
http://www.wikidata.org/entity/Q2486001	Q2486001					
http://www.wikidata.org/entity/Q2497542	Q2497542					
http://www.wikidata.org/entity/Q2528034	Free Imperial City of Worms					
http://www.wikidata.org/entity/Q2529996	Herrschaft Schönau					
http://www.wikidata.org/entity/Q2540522	Q2540522					
http://www.wikidata.org/entity/Q2541587	Waldhausen					
http://www.wikidata.org/entity/Q2546645	Q2546645					
http://www.wikidata.org/entity/Q2561601	Q2561601					
http://www.wikidata.org/entity/Q2566079	coat of arms of Löwenstein-Wertheim					
http://www.wikidata.org/entity/Q2590823	Q2590823					
http://www.wikidata.org/entity/Q2592522	Wolkenstein					
http://www.wikidata.org/entity/Q2596818	Q2596818					
http://www.wikidata.org/entity/Q2598686	County of Diepholz					
http://www.wikidata.org/entity/Q2604395	Q2604395					
http://www.wikidata.org/entity/Q2614104	Q2614104					
http://www.wikidata.org/entity/Q2629137	Free Imperial City of Aachen					
http://www.wikidata.org/entity/Q2638011	House of Lorraine					
http://www.wikidata.org/entity/Q2664698	Q2664698					
http://www.wikidata.org/entity/Q2674290	Q2674290					
http://www.wikidata.org/entity/Q2677382	Q2677382					
http://www.wikidata.org/entity/Q2684137	Q2684137					
http://www.wikidata.org/entity/Q2695632	Q2695632					
http://www.wikidata.org/entity/Q2701518	Q2701518					
http://www.wikidata.org/entity/Q2702805	Q2702805					
http://www.wikidata.org/entity/Q2719360	Duchy of Luxembourg					
http://www.wikidata.org/entity/Q2733795	Q2733795					
http://www.wikidata.org/entity/Q2748024	Q2748024					
http://www.wikidata.org/entity/Q2750894	Imperial city of Regensburg					
http://www.wikidata.org/entity/Q2757553	Diet of Speyer					
http://www.wikidata.org/entity/Q2760534	Q2760534					
http://www.wikidata.org/entity/Q2765262	Q2765262					
