Abtei Baindt, Schwäbischer Reichskreis,
Grafschaft Rantzau, Niedersächsischer Reichskreis,
Grafschaft Reckheim, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Rieneck, Fränkischer Reichskreis,
Grafschaft Rietberg, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Rothenfels und Herrschaft Staufen, Schwäbischer Reichskreis,
Grafschaft Sayn, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Sayn-Wittgenstein-Berleburg, Oberrheinischer Reichskreis,
Grafschaft Sayn-Wittgenstein-Wittgenstein, Oberrheinischer Reichskreis,
Grafschaft Schaumburg (teils zu Hessen-Kassel / teils zu Lippe gehörig), Niederrheinisch-westfälischer Reichskreis,
Grafschaft Schleiden, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Spiegelberg, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Sponheim, Oberrheinischer Reichskreis,
Grafschaft Steinfurt, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Tecklenburg und Lingen, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Vinneburg, Niederrheinisch-westfälischer Reichskreis,
Grafschaft Waldeck, Oberrheinischer Reichskreis,
Grafschaft Wartenberg, Oberrheinischer Reichskreis,
Grafschaft Wertheim, Fränkischer Reichskreis,
Grafschaft Wied, Niederrheinisch-westfälischer Reichskreis,
Grafschaften Blankenheim und Gerolstein, Niederrheinisch-westfälischer Reichskreis,
Grafschaften Oldenburg und Delmenhorst, Niederrheinisch-westfälischer Reichskreis,
Grafschaften Stolberg und Wernigerode, Obersächsischer Reichskreis,
Herrlichkeit Hörstgen nebst Rittersitz Frohnenburg, Nicht eingekreiste Territorien,
Herrschaft Anholt, Niederrheinisch-westfälischer Reichskreis,
Herrschaft Asch, Nicht eingekreiste Territorien,
Herrschaft Beilstein, Kurrheinischer Kreis,
Herrschaft Breiteneck, Bayerischer Reichskreis,
Herrschaft Bretzenheim, Oberrheinischer Reichskreis,
Herrschaft Dagstuhl, Oberrheinischer Reichskreis,
Herrschaft Dreis, Nicht eingekreiste Territorien,
Herrschaft Dyck, Nicht eingekreiste Territorien,
Herrschaft Eglingen, Schwäbischer Reichskreis,
Herrschaft Eglofs, Schwäbischer Reichskreis,
Herrschaft Ehrenfels, Bayerischer Reichskreis,
Herrschaft Freudenberg, Nicht eingekreiste Territorien,
Herrschaft Gemen, Niederrheinisch-westfälischer Reichskreis,
